,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24
10,0,0,1,1,4,5,3,4,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,1,3,3,1,2,1,1,-1,2,1,0,2,2,1,2,0,1,1,2,1,1,0,1,1,2,2,1,2,0,0,1,2
11,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,4,5,5,4,1,-1,1,1,0,2,0,1,1,2,2,1,2,0,0,1,1,1,1,0,2,2,1,2,0,0
12,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,7,2,0,0,1,1,2,2,0,0,1,1,1,0,2,2,0,2,0,2,1,1,0,0,1
13,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,4,5,5,4,1,15,0,2,2,1,1,2,2,1,0,0,0,0,1,2,1,1,0,1,0,2,1,1,0,0
14,0,0,2,3,0,2,6,3,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,0,3,1,3,2,-1,1,1,1,0,1,1,2,0,2,0,2,1,1,2,2,2,1,1,1,2,2,2,0,2
15,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,4,1,1,1,1,1,1,2,0,0,1,2,1,0,2,1,2,0,2,0,1,0,2,0,1
16,0,1,2,3,0,3,2,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,0,3,1,3,2,8,2,1,2,0,2,2,0,0,0,1,0,0,1,1,0,2,0,2,1,0,1,2,1,2
17,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,0,2,2,2,1,2,1,1,2,1,1,1,2,0,1,1,0,2,0,1,1,1,2,2
18,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,0,2,2,2,0,1,0,0,1,1,1,1,1,0,2,1,1,0,2,0,1,0,0,0,1
19,0,1,2,2,3,2,6,5,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,1,2,7,2,-1,2,0,1,0,0,0,1,0,0,0,1,1,1,0,2,0,1,2,1,1,2,2,0,0
20,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,1,1,1,0,2,2,1,0,2,2,1,1,2,2,0,0,2,0,2,0,1,1,2,0
21,0,1,0,0,2,1,0,1,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,0,1,2,7,0,-1,2,2,0,0,1,0,0,0,0,1,2,0,2,2,2,1,1,1,0,0,2,0,0,2
22,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,1,2,0,1,1,1,0,2,2,2,0,0,1,0,2,2,0,1,2,1,2,0,0,1
23,0,1,2,2,3,5,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,1,2,7,2,11,0,0,0,1,0,2,0,1,0,2,2,2,1,2,1,0,0,0,1,2,2,0,1,0
24,0,1,2,2,3,2,0,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,1,2,7,2,11,1,0,2,0,0,0,0,1,1,0,0,2,0,0,0,2,0,1,0,0,1,1,0,2
25,0,1,2,3,0,3,2,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,0,3,1,3,2,8,1,2,1,2,0,0,0,2,2,0,0,2,2,2,0,2,1,1,0,0,2,2,1,1
26,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,2,0,1,0,0,2,1,2,2,2,0,2,2,0,0,0,1,0,0,0,2,1,0,0,2
27,0,0,1,2,3,5,3,4,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,1,2,7,2,-1,1,0,2,1,0,1,2,2,0,0,1,0,1,1,1,2,2,2,2,1,0,1,0,2
28,0,1,2,3,0,2,6,3,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,0,3,1,3,2,12,1,1,0,2,1,1,2,1,1,1,2,2,0,1,1,0,0,2,0,1,2,0,1,1
29,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,-1,1,1,0,0,2,1,0,1,2,0,2,2,1,2,2,0,0,2,1,1,1,1,2,1
30,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,4,5,5,4,1,-1,1,2,0,0,0,2,0,2,0,2,2,1,1,2,2,0,2,0,1,1,0,1,1,0
31,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,1,0,1,0,1,1,1,0,2,0,0,0,0,2,1,2,1,2,1,0,0,0,1,1
32,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,2,2,2,1,0,1,1,2,0,1,2,1,2,0,1,2,0,1,0,2,0,0,1,0
33,0,1,2,3,0,3,2,7,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,0,0,3,1,3,0,-1,1,0,0,1,0,2,2,1,0,0,0,0,0,0,1,2,1,0,1,2,2,0,1,2
34,0,1,2,2,3,2,0,5,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,3,3,1,2,7,2,-1,1,0,2,1,0,1,2,2,0,1,0,2,0,0,1,1,2,1,0,1,1,0,0,2
35,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,4,5,5,4,1,-1,1,2,1,2,1,1,2,2,1,1,0,2,1,1,1,2,2,0,1,2,2,0,1,0
36,0,0,1,2,3,5,3,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,1,2,7,2,-1,2,1,2,1,1,2,2,0,0,1,2,0,0,0,2,2,0,0,0,1,1,2,1,1
37,0,0,1,2,1,5,3,4,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,1,3,3,1,2,7,1,-1,2,0,1,2,0,0,2,1,1,1,0,0,1,1,0,0,2,0,2,2,1,1,2,2
38,0,0,2,2,3,5,3,4,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,3,3,1,2,7,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,2
39,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,4,5,5,1,1,22,0,2,0,0,0,1,0,2,2,1,0,2,1,0,0,0,2,1,1,0,0,2,2,0
40,0,1,2,3,0,2,6,3,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,0,3,1,3,2,12,2,1,1,1,0,1,2,1,0,1,2,2,2,2,0,0,1,1,0,0,1,2,0,1
41,0,1,2,3,0,3,2,2,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,0,3,1,3,2,-1,1,2,0,2,1,2,1,2,1,2,2,2,0,1,0,2,2,0,0,2,2,1,0,2
42,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,6,2,1,1,0,1,0,2,2,0,0,2,1,1,2,2,2,0,1,2,2,0,0,2,1
43,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,4,5,5,4,1,-1,0,0,0,0,2,0,1,2,2,2,1,0,2,0,1,2,2,2,1,1,2,0,2,0
44,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,1,1,-1,2,2,1,2,2,2,1,0,0,1,2,2,1,0,0,2,1,1,0,1,0,1,1,0
45,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,-1,2,2,0,2,2,0,2,0,2,1,2,0,0,2,2,1,0,2,2,1,2,2,2,2
46,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,20,1,2,1,0,0,1,1,2,2,1,1,0,2,2,1,0,1,1,1,1,2,2,0,1
47,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,0,2,1,2,1,1,2,0,0,1,0,1,0,0,0,0,2,0,2,1,2,2,1,1
48,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,-1,0,2,0,1,1,0,0,2,2,2,2,0,1,0,1,2,2,1,2,2,1,0,2,1
49,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,0,2,0,0,1,2,1,2,0,1,2,0,1,0,0,1,2,1,2,1,0,0,2,1
50,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,4,1,1,2,0,1,0,0,1,2,0,0,1,1,1,0,2,0,2,1,2,1,1,2,2
51,0,1,2,3,0,3,2,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,0,3,1,3,2,8,0,0,0,0,1,1,2,1,0,0,1,0,1,0,2,1,2,2,1,1,0,2,2,0
52,0,0,1,1,4,0,4,6,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,1,2,1,2,1,0,0,2,0,0,1,2,2,1,1,2,0,2,1,1,1,0,2,1
53,0,1,2,3,0,2,0,7,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,0,0,3,1,3,2,-1,1,2,1,0,1,0,1,1,2,1,0,0,1,1,0,1,2,1,1,1,0,1,1,0
54,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,0,0,1,0,0,2,0,0,1,0,1,2,1,2,0,1,0,2,0,0,2,0,2,0
55,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,4,5,5,1,1,-1,2,0,2,1,2,2,1,2,0,0,0,1,1,1,0,2,2,0,2,1,2,0,2,2
56,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,0,1,1,1,0,0,2,0,2,2,2,0,2,0,1,0,2,1,0,2,2,1,2,0,2
57,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,0,0,2,2,2,2,2,0,1,2,2,2,2,2,1,1,1,1,0,2,0,2,2,0
58,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,2,2,0,0,1,0,2,1,0,1,1,2,2,0,2,2,0,0,1,2,1,2,0,2
59,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,4,0,1,2,2,1,1,1,2,0,0,2,2,0,2,2,2,0,1,0,0,1,0,1,0
60,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,1,3,4,5,5,4,1,-1,1,2,2,1,2,0,0,1,0,0,2,0,1,2,0,2,1,1,0,2,2,2,1,1
61,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,0,0,0,0,2,0,0,1,2,2,1,0,2,0,0,0,2,2,1,0,1,0,1,2,2
62,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,-1,2,2,1,0,2,1,1,0,2,0,2,2,2,1,0,2,1,1,1,1,0,2,0,0
63,0,1,2,3,0,3,2,7,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,0,0,3,1,3,2,14,0,0,2,2,0,2,0,0,2,0,2,1,2,0,2,0,1,1,1,1,1,2,0,1
64,0,0,1,1,1,4,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,1,3,4,5,5,4,1,-1,2,2,2,2,2,1,2,1,1,2,1,2,0,1,0,0,0,2,0,1,2,1,2,0
65,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,1,0,0,0,2,0,0,2,2,1,1,0,1,0,0,1,1,0,2,0,0,1,0,2
66,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,5,2,2,0,1,0,2,2,0,1,2,2,2,0,0,1,0,1,1,0,1,0,0,2,0
67,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,1,2,0,0,0,0,2,2,2,2,1,0,0,2,0,1,1,0,1,2,0,2,2,2
68,0,1,2,2,3,5,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,1,2,7,2,11,0,1,0,1,2,2,1,0,0,0,0,2,0,1,0,1,0,2,1,2,2,0,2,1
69,0,1,2,2,3,2,0,5,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,3,3,1,2,7,2,-1,2,1,0,1,2,2,0,2,1,1,1,0,2,0,1,2,1,1,1,2,1,1,1,0
70,0,1,1,2,3,5,3,4,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,1,3,3,1,2,7,2,-1,1,2,0,0,2,2,1,2,2,2,2,0,0,0,2,0,2,0,2,2,0,0,2,2
71,0,0,1,1,1,4,1,0,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,1,3,4,5,5,4,1,-1,1,2,2,2,0,1,2,1,2,1,2,2,0,1,1,2,2,1,0,2,1,2,0,0
72,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,2,1,0,0,2,2,2,0,0,1,1,1,0,1,0,2,1,0,2,2,0,0,2,2
73,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,4,5,5,1,1,-1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,1,1,2
74,0,1,0,0,2,1,5,1,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,-1,2,2,0,2,1,1,2,1,2,0,1,1,1,0,0,0,1,2,0,1,2,2,2,0
75,0,1,2,3,0,3,2,7,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,0,0,3,1,3,2,14,0,0,1,2,0,2,0,0,2,2,0,1,2,1,0,1,0,0,1,1,1,1,0,0
76,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,0,0,2,2,0,2,2,0,2,1,0,2,1,0,0,0,1,2,1,1,2,0,0,0
77,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,0,0,1,1,1,1,2,2,1,1,1,2,0,1,2,0,1,1,1,1,2,1,1,2
78,0,1,2,2,3,2,0,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,3,3,1,2,7,2,11,1,2,1,2,2,1,2,0,1,1,1,0,1,0,1,0,0,1,1,2,2,2,0,0
79,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,4,1,2,1,0,0,0,0,0,1,0,2,2,2,1,1,2,0,0,0,2,2,1,2,2
80,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,2,1,0,2,0,0,0,2,2,1,0,1,1,1,2,1,2,1,1,0,1,1,1,0
81,0,0,2,2,3,2,6,3,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,0,0,3,1,3,2,12,2,1,2,1,0,0,1,1,1,2,1,0,2,0,2,0,2,0,1,1,1,0,1,0
82,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,-1,0,2,2,1,2,0,0,2,2,2,1,2,1,1,1,2,0,0,2,0,0,0,2,2
83,0,1,0,0,2,1,0,5,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,2,3,3,1,2,7,0,-1,1,2,2,0,2,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,1,2,0,1
84,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,3,0,0,1,2,0,1,2,2,1,1,0,1,2,2,2,2,0,0,0,0,2,0,0,2,2,1,0
85,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,-1,1,0,2,2,2,2,2,2,0,1,0,2,2,0,0,2,2,2,0,2,1,2,0,2
86,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,0,2,0,4,1,2,0,1,0,1,0,2,1,2,2,1,0,0,1,1,0,1,2,1,2,2,1,2
87,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,3,4,6,5,0,-1,0,0,2,2,1,2,2,1,2,1,1,0,2,1,2,1,0,0,1,1,2,2,0,1
88,0,1,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,1,2,0,0,2,0,-1,2,2,0,0,1,0,0,2,1,0,0,2,1,2,1,1,2,1,0,1,2,2,2,2
89,0,0,1,2,3,5,3,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,3,3,1,2,7,2,-1,1,0,2,2,2,2,0,1,0,0,0,2,0,0,2,1,2,0,1,1,2,1,0,2
90,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,1,3,4,5,5,1,1,-1,0,2,0,0,1,1,1,1,0,2,2,0,2,2,1,0,2,2,0,1,1,2,0,2
91,0,1,2,2,3,5,3,5,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,3,3,1,2,7,2,-1,0,2,1,0,2,2,2,1,1,2,0,2,0,1,2,2,1,0,2,1,0,0,2,0
92,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,1,1,17,2,2,0,0,2,2,2,0,1,2,1,1,2,0,0,2,2,1,2,1,2,1,0,2
93,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,1,0,2,2,1,0,1,0,1,0,2,2,1,0,0,1,2,0,0,1,0,2,2,1
94,0,0,1,1,4,0,4,6,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,-1,0,1,1,0,1,2,0,1,0,1,0,0,2,0,0,0,2,2,0,2,1,2,2,0
95,0,1,0,2,3,2,0,5,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,2,3,3,1,2,7,2,-1,0,1,0,1,2,2,2,0,1,1,1,1,2,2,2,0,2,0,2,0,1,2,0,1
96,0,0,1,1,4,0,4,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,2,1,2,4,6,1,20,1,2,0,1,2,2,0,0,2,0,1,1,0,2,0,1,0,2,1,2,0,2,0,2
97,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,1,3,4,5,5,4,1,-1,1,0,2,0,0,2,2,0,2,1,0,2,2,0,0,2,1,1,1,0,1,0,2,1
98,0,0,1,1,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,1,3,4,5,5,4,1,-1,1,2,1,0,2,2,1,2,2,1,0,0,1,0,2,0,2,1,2,0,2,0,2,0
