,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15,random_n16
10,0,0,1,3,1,1,0,7,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,0,0,2,1,1,2,2,2,2,0,1,1,0,2,1,2
11,0,0,1,0,3,5,5,7,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,2,2,0,2,1,2,2,1,1,2,1,2,0,1,2,0
12,0,0,1,0,3,5,5,1,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,1,1,0,2,1,2,0,0,1,1,0,0,2,0,0,2
13,0,0,1,0,3,5,5,1,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,-1,2,1,0,1,1,2,0,0,2,0,0,2,1,0,1,0
14,0,0,1,3,1,1,0,4,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,2,1,0,0,2,2,2,1,2,1,2,2,0,2,1,1
15,0,0,1,3,1,1,0,4,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,0,0,1,0,0,0,2,0,0,2,2,2,1,0,2,0
16,0,0,1,3,1,1,0,4,-1,-1,2,1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,1,0,2,1,2,2,2,1,0,0,1,1,2,1,1,1
17,0,0,1,3,1,1,0,7,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,2
18,0,0,1,3,1,1,0,4,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,1,1,0,0,1,0,1,2,0,0,1,2,2,0,2,0
19,0,0,1,3,1,1,0,7,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,1,1,1,2,1,1,2,0,2,0,0,2,1,0,1,1
20,0,0,1,3,1,1,0,7,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,2,2,0,1,1,1,1,2,0,0,2,2,1,1,2
21,0,0,1,3,1,1,0,7,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,1,1,1,0,2,2,1,1,2,0,2,1,2,2,0,1
22,0,0,1,3,1,1,0,7,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,0,0,1,0,1,0,2,1,2,0,2,0,1,1,0
23,0,0,1,0,3,5,5,7,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,0,0,1,1,0,0,0,0,0,1,1,1,2,2,1
24,0,0,1,0,3,5,5,7,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,1,1,0,1,2,2,1,1,0,0,2,1,0,2,1,1
25,0,0,1,0,3,5,5,1,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,2,2,0,1,1,1,0,0,0,2,0,1,2,0,2,1
26,0,0,1,0,1,5,0,7,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,1,0,1,1,0,2,2,0,0,1,1,2,2,2,2
27,0,0,1,3,1,1,0,7,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,0,2,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1
28,0,0,1,3,1,1,0,7,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,1,0,2,2,2,1,2,0,2,0,0,2,1,2,1
29,0,0,1,0,3,5,5,1,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,1,0,2,0,0,1,1,1,0,0,0,1,0,0,0,1
30,0,0,1,0,3,5,5,1,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,1,0,2,2,2,2,2,0,1,0,1,1,1,2,2,1
31,0,0,1,3,1,1,0,7,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,2,0,2,0,2,2,2,1,0,2,1,2,2,1,0,0
32,0,0,1,3,1,1,0,4,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,0,1,0,1,2,1,1,2,0,0,0,0,0,2,2,0
33,0,0,1,3,1,1,0,4,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,0,1,2,4,4,4,1,-1,1,2,0,0,2,2,2,1,0,2,1,0,0,1,1,2
34,0,0,1,0,3,5,5,1,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,1,1,2,2,2,2,0,2,1,0,0,2,1,1,2,1
35,0,0,1,0,3,5,5,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,-1,1,1,0,0,0,2,0,1,0,0,2,1,2,1,2,2
36,0,0,1,3,1,1,0,7,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,0,2,0,1,2,1,2,1,2,1,0,0,1,2,1
37,0,0,1,3,1,1,0,7,-1,3,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,2,0,2,1,1,1,0,0,1,1,0,1,1,0,0,0
38,0,0,1,0,3,5,5,1,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,0,1,0,2,2,2,1,1,1,2,0,2,0,0,0,1
39,0,0,1,0,1,5,0,7,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,0,2,2,1,1,2,2,0,0,2,1,0,0,2,2,0,2
40,0,0,1,3,1,1,0,7,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,0,2,0,1,1,2,2,0,1,0,1,2,1,0,2,0,1
41,0,0,1,0,3,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,7,0,1,1,3,4,5,1,5,1,-1,0,2,1,1,1,2,1,1,2,0,1,0,2,0,0,0
42,0,0,1,0,3,5,5,1,-1,-1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,2,2,0,0,1,0,2,0,0,2,0,0,0,1,1,2
43,0,0,1,3,1,1,0,7,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,0,1,2,2,5,2,1,-1,0,1,0,0,1,1,1,2,1,1,0,1,2,2,2,1
44,0,0,1,3,1,1,0,7,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,0,1,1,2,2,1,1,0,1,1,0,1,0,2,2,0
45,0,0,1,0,3,5,5,1,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1,1
46,0,0,1,3,1,1,0,7,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,1,2,0,0,1,1,0,1,0,1,2,2,1,2,1,0
47,0,0,1,0,3,5,5,1,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,0,3,4,5,1,5,1,1,1,0,1,2,2,0,1,2,1,2,2,0,2,0,1,2
48,0,0,1,3,1,1,0,7,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,0,1,2,4,4,4,1,-1,2,0,2,1,0,1,1,2,0,0,0,2,0,1,1,2
49,0,0,1,0,3,5,5,7,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,7,0,1,0,1,2,2,5,2,1,-1,0,1,2,2,1,1,1,0,0,0,0,0,1,2,0,1
50,0,1,0,2,2,3,3,5,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,2,3,0,2,0,0,-1,0,0,0,2,1,2,0,0,2,1,1,1,0,1,2,0
51,0,1,0,2,0,3,1,5,-1,-1,-1,3,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,1,2,2,0,2,0,0,2,1,0,0,2,1,1,1,2
52,0,1,0,2,2,3,3,5,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,2,3,0,2,0,0,-1,0,2,1,2,0,0,2,0,2,1,2,2,0,0,1,1
53,0,1,2,1,4,4,4,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,1,0,1,2,1,1,1,1,1,0,1,0,1,1,2,1
54,0,1,2,1,0,2,1,5,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,2,2,2,0,0,0,2,1,2,0,1,0,2,0,1,1
55,0,1,2,1,0,2,1,2,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,2,1,0,2,2,2,1,2,0,2,2,0,0,2,0,2,0,0,0,0
56,0,1,0,2,0,3,1,5,-1,-1,-1,3,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,0,2,2,1,2,1,1,1,0,1,2,1,2,2,0,1
57,0,1,2,1,4,4,4,2,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,1,1,2,0,1,1,1,2,1,2,1,2,2,1,0,0
58,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,1,1,1,1,0,2,2,0,1,0,1,2,1,0,1,1
59,0,1,2,1,4,4,4,2,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,-1,1,0,2,2,1,0,0,1,1,1,0,1,2,2,2,0
60,0,1,2,1,4,4,4,2,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,1,0,0,1,2,0,2,0,2,1,2,1,1,0,1,1
61,0,1,2,1,0,2,1,5,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,-1,2,0,0,1,1,1,0,2,1,1,2,0,1,1,2,1
62,0,1,2,1,4,4,4,2,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,2,2,2,0,2,1,0,1,0,1,1,0,1,1,0,0
63,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,3,2,2,1,1,1,2,2,2,1,1,2,0,1,2,0,2
64,0,1,2,1,4,2,1,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,2,1,0,2,0,1,1,1,1,0,1,0,0,1,0,1,1,2,2,2
65,0,1,0,2,0,3,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,2,1,2,1,2,0,2,0,2,0,0,2,0,2,1,2
66,0,1,2,1,0,2,1,5,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,6,6,0,0,1,0,3,0,2,1,0,2,1,0,2,2,0,0,2,1,0,1,1,1,0,2,1,0
67,0,1,2,1,4,4,4,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,1,0,-1,0,0,1,0,0,2,0,2,0,0,1,0,2,2,1,2
68,0,1,2,1,4,4,6,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,1,0,0,3,0,6,0,-1,1,2,0,1,1,2,2,0,2,2,2,2,0,1,0,1
69,0,1,2,1,4,4,4,2,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,-1,2,1,2,1,1,1,1,2,0,0,0,0,1,2,1,0
70,0,1,0,2,0,3,1,5,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,1,0,-1,0,1,0,0,1,1,2,2,2,2,2,2,1,2,2,2
71,0,1,2,1,0,2,1,5,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,5,6,6,0,0,1,0,3,0,2,1,0,3,0,2,2,1,0,1,2,1,2,1,2,1,0,2,1,1
72,0,1,2,1,0,2,6,6,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,0,3,0,0,3,0,-1,2,0,0,2,2,1,0,2,2,0,1,0,2,2,1,1
73,0,1,2,1,0,2,1,5,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,3,0,1,2,0,2,0,1,0,0,0,0,1,2,1,2,0
74,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,0,0,3,0,1,1,1,2,0,1,0,2,0,0,1,0,1,2,2
75,0,1,0,2,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,0,1,2,2,0,0,0,1,1,2,2,1,1,0,0,1
76,0,1,0,2,0,2,1,5,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,0,1,1,1,2,0,1,2,0,1,0,2,1,2,0,2
77,0,1,0,2,0,3,3,5,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,6,1,0,0,2,2,3,0,2,0,0,-1,0,1,0,2,0,2,1,0,0,0,0,1,2,2,1,1
78,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,3,0,2,1,1,1,2,2,0,1,2,2,1,0,1,1,1
79,0,1,2,1,4,4,4,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,-1,2,2,1,2,2,0,0,1,1,0,1,2,1,1,0,0
80,0,1,2,1,4,4,4,2,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,0,2,2,1,2,1,1,2,1,0,1,1,2,1,1,2
81,0,1,2,1,4,4,4,2,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,2,0,2,2,0,0,0,2,1,0,1,1,2,2,1,1
82,0,1,2,1,4,4,4,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,1,0,2,1,1,0,2,1,1,2,2,2,0,2,1,0,0,2,2
83,0,1,2,1,0,2,6,6,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,0,3,0,0,3,0,-1,1,2,1,2,2,2,1,0,0,2,0,2,2,0,1,2
84,0,1,2,1,0,2,1,5,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,3,0,2,1,0,-1,1,1,0,2,0,2,0,0,0,1,2,2,1,1,2,2
85,0,1,0,2,0,3,1,5,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,0,1,0,0,0,1,1,1,1,1,2,0,2,1,0,0
86,0,1,0,2,0,3,1,5,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,0,3,0,2,0,0,-1,1,1,0,2,2,0,0,0,2,0,1,1,2,1,1,1
87,0,1,2,1,4,4,6,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,1,0,0,3,0,6,0,-1,1,1,2,2,1,0,2,1,2,2,0,2,2,1,2,2
88,0,1,2,1,0,2,1,5,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,3,0,2,1,0,2,1,0,0,2,2,1,2,1,1,1,1,1,0,0,2,0
89,0,1,2,1,4,4,4,2,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,-1,0,2,1,2,0,0,1,2,1,1,0,2,1,0,2,2
90,0,1,2,1,4,4,4,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,2,1,2,0,0,0,0,1,1,1,0,0,2,2,1,2,0
91,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,3,2,0,2,1,0,2,0,2,1,0,1,2,0,0,1,2
92,0,1,2,1,4,4,4,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,6,0,-1,0,1,1,0,1,1,1,2,2,2,1,0,2,1,0,2
93,0,1,2,1,4,4,4,2,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,1,1,0,2,0,0,2,0,0,1,2,1,1,0,2,2
94,0,1,2,1,4,4,4,2,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,6,1,0,2,2,0,1,0,1,2,2,0,2,0,0,2,2,2,0,0
95,0,1,2,1,0,2,1,5,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,3,0,2,1,0,2,0,0,2,0,0,0,2,1,0,2,0,1,0,2,2,0
96,0,1,2,1,0,2,1,5,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,3,0,2,1,0,2,2,0,0,2,1,0,1,1,0,2,0,2,2,0,2,1
97,0,1,2,1,0,2,1,5,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,0,3,0,2,1,0,3,0,2,0,1,2,1,0,1,0,2,0,1,2,1,2,1
98,0,1,2,1,4,4,4,2,-1,-1,-1,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,1,1,0,2,1,0,2,1,2,1,0,1,2,0,0,0
99,0,1,2,1,4,2,1,2,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,0,0,3,2,1,0,2,2,2,2,2,2,2,2,0,1,1,2,2,0,1,0,1
100,0,1,0,2,2,3,3,0,-1,-1,-1,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,2,2,1,1,3,7,0,-1,2,1,1,1,1,0,1,1,1,1,0,1,2,1,0,0
101,0,1,2,1,0,2,6,6,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,0,3,0,0,3,0,-1,1,2,0,1,2,1,1,2,2,2,2,0,2,1,1,0
102,0,1,0,2,2,0,2,3,-1,-1,-1,-1,2,1,1,1,1,0,0,2,0,2,2,2,5,0,0,2,2,1,1,3,7,0,-1,0,0,0,2,1,0,1,0,2,2,1,0,0,1,0,0
103,0,1,0,2,0,2,3,6,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,1,0,0,1,0,3,0,0,3,0,-1,1,2,0,1,2,0,1,2,0,0,2,1,0,0,1,1
104,0,1,0,2,2,3,3,0,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,2,2,1,1,3,7,0,-1,1,0,0,2,0,1,0,1,2,0,2,1,1,0,1,2
105,0,1,0,2,2,0,2,3,-1,-1,-1,-1,6,1,1,1,1,0,0,2,0,2,3,5,4,0,0,2,2,1,1,3,7,0,-1,0,1,1,1,2,0,1,0,0,1,2,2,0,2,0,1
106,0,1,2,1,4,4,4,2,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,4,5,4,2,0,0,1,0,0,3,6,6,0,-1,2,1,2,2,1,0,0,2,2,1,1,2,2,1,2,2
107,0,1,0,2,2,0,2,3,-1,-1,-1,9,7,1,1,1,1,0,0,2,0,2,3,5,4,0,0,2,2,1,1,3,7,0,-1,2,1,2,0,0,1,0,0,1,0,0,1,2,2,2,1
108,0,1,0,1,0,2,6,6,-1,-1,-1,-1,-1,-1,1,1,1,0,0,2,1,3,2,2,1,0,0,1,0,3,0,0,3,0,-1,2,0,1,1,0,0,2,2,1,1,2,1,0,0,1,2
109,0,1,0,2,2,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,3,5,4,0,0,2,2,1,1,3,7,0,-1,2,0,0,1,2,2,2,0,1,0,1,1,1,0,2,2
110,0,1,0,2,2,3,3,0,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,2,2,1,1,3,7,0,-1,1,0,1,2,2,0,1,2,2,0,2,1,0,1,2,0
111,0,1,0,1,0,2,6,6,-1,-1,13,10,2,1,1,1,1,0,0,2,1,3,2,2,1,0,0,1,0,3,0,0,3,0,-1,2,0,1,2,0,0,2,2,0,0,2,0,1,0,1,1
112,0,1,0,2,2,3,3,0,-1,-1,14,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,2,2,1,1,3,7,0,-1,2,0,1,0,2,1,0,2,1,2,1,1,0,1,0,2
