,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4
23,0,1,2,2,2,5,5,3,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,0,3,4,0,7,2,1,2,1,2,1
24,0,1,2,2,2,0,1,3,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,0,3,4,0,7,2,1,0,0,1,1
25,0,1,2,3,3,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,4,3,4,3,2,1,0,1,1,1
26,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,1,1,0,0
27,0,0,1,2,2,5,5,7,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,0,3,4,0,7,2,-1,2,1,0,0
28,0,1,2,3,2,0,3,2,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,4,3,4,3,2,1,2,0,2,0
29,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,-1,0,0,0,0
30,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,0,2,0,2,0,1,-1,0,1,0,2
31,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,0,2,2,2
32,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,4,0,0,0,1,0,1
33,0,1,2,3,3,3,2,6,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,0,2,4,3,4,3,0,-1,0,2,2,0
34,0,1,2,2,2,0,1,3,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,0,0,3,4,0,7,2,1,1,1,0,0
35,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,0,2,0,2,0,1,2,0,1,0,0
36,0,0,1,2,2,5,5,7,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,0,3,4,0,7,2,1,2,0,2,1
37,0,0,1,2,4,5,5,7,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,2,0,3,4,0,7,1,1,1,0,2,1
38,0,0,2,2,2,5,5,2,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,0,3,4,0,7,2,1,1,2,0,0
39,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,0,2,0,2,1,1,2,1,1,2,1
40,0,1,2,3,3,0,3,2,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,0,2,4,3,4,3,2,1,2,1,0,1
41,0,1,2,3,3,3,2,4,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,4,3,4,3,2,1,2,2,1,2
42,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,-1,1,2,2,2
43,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,0,2,0,2,0,1,2,0,0,2,1
44,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,2,2,2,1,0
45,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,-1,2,1,2,1
46,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,1,0,2,2
47,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,4,0,0,2,0,1,0
48,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,-1,2,0,1,1
49,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,0,1,2,0
50,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,2,0,2,0
51,0,1,2,3,3,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,4,3,4,3,2,1,2,2,2,0
52,0,0,1,1,1,1,4,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,-1,1,0,2,2
53,0,1,2,3,3,0,1,6,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,0,2,4,3,4,3,2,1,0,1,2,2
54,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,-1,1,2,2,0
55,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,0,2,0,2,1,1,2,1,1,0,2
56,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,0,1,1,2,0
57,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,1,2,2,1
58,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,2,2,0,1
59,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,0,2,1,1
60,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,2,0,2,0,2,0,1,-1,0,2,1,2
61,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,0,0,2,0,2
62,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,0,0,1,2,1
63,0,1,2,3,3,3,2,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,0,2,4,3,4,3,2,-1,1,0,2,0
64,0,0,1,1,4,4,0,5,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,2,0,2,0,2,0,1,-1,1,1,1,0
65,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,0,2,2,1
66,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,1,2,0,1
67,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,2,0,2,1
68,0,1,2,2,2,5,5,3,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,0,3,4,0,7,2,1,0,0,1,1
69,0,1,2,2,2,0,1,3,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,0,0,3,4,0,7,2,1,1,0,2,2
70,0,1,1,2,2,5,5,7,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,0,3,4,0,7,2,-1,0,1,2,0
71,0,0,1,1,4,4,0,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,0,2,0,2,0,1,-1,2,1,2,0
72,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,1,1,2,1
73,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,0,2,0,2,1,1,2,0,1,1,1
74,0,1,0,0,0,2,6,0,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,-1,1,0,2,0
75,0,1,2,3,3,3,2,6,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,0,2,4,3,4,3,2,-1,0,0,0,0
76,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,2,1,0,0
77,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,-1,2,1,0,0
78,0,1,2,2,2,0,1,3,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,0,0,3,4,0,7,2,1,2,0,1,0
79,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,2,1,1,1
80,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,1,0,0,1
81,0,0,2,2,2,0,3,2,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,4,3,4,3,2,1,0,2,1,2
82,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,0,0,0,1
83,0,1,0,0,0,2,1,3,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,0,0,3,4,0,7,0,-1,2,0,0,0
84,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,0,1,2,2
85,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,1,0,0,0
86,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,0,1,0,2
87,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,0,0,0,0,1
88,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,1,2,2,0
89,0,0,1,2,2,5,5,7,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,0,3,4,0,7,2,1,2,2,0,0
90,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,0,2,0,2,1,1,2,1,2,2,1
91,0,1,2,2,2,5,5,3,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,0,3,4,0,7,2,1,1,0,0,1
92,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,2,1,0,2,1
93,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,1,1,1,2
94,0,0,1,1,1,1,4,1,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,-1,0,2,0,0
95,0,1,0,2,2,0,1,3,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,0,0,3,4,0,7,2,1,1,2,1,2
96,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,2,1,2,0
97,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,0,2,0,2,0,1,-1,2,2,0,1
98,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,0,2,0,2,0,1,2,0,2,0,2
99,0,1,0,0,0,2,6,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,-1,2,0,2,1
100,0,0,1,1,1,1,4,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,-1,0,1,2,0
101,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,2,2,2,2
102,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,2,0,0,0
103,0,1,0,0,0,2,6,0,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,-1,2,2,2,1
104,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,1,1,1,1
105,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,2,2,0,1,2
106,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,2,0,0,0
107,0,1,2,2,2,5,5,7,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,0,0,3,4,0,7,2,1,0,0,0,1
108,0,1,2,3,3,0,3,2,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,0,2,4,3,4,3,2,1,0,0,2,2
109,0,0,1,2,2,5,5,7,-1,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,2,0,3,4,0,7,1,1,2,1,0,0
110,0,1,2,3,3,0,3,2,9,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,0,2,4,3,4,3,2,1,2,1,0,0
111,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,-1,0,0,1,2
112,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,0,1,0,1
113,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,5,5,0,0,0,2,1,0
114,0,1,2,2,2,0,3,2,19,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,4,4,0,7,2,1,1,0,2,1
115,0,0,1,1,4,4,0,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,0,2,0,2,0,1,-1,1,0,2,1
116,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,-1,1,0,1,2
117,0,0,1,1,1,1,4,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,0,3,3,1,0,1,2,3,0,2,3,1,1,-1,1,2,2,1
118,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,2,1,0,0,0
119,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,2,1,0,2,1
120,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,0,2,0,0
121,0,1,2,3,3,3,2,4,20,9,0,0,0,0,0,0,0,0,1,2,3,2,2,1,5,0,0,0,2,4,3,4,3,2,-1,1,2,2,0
122,0,1,2,3,3,0,3,2,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,0,2,4,3,4,3,2,1,0,0,2,1
123,0,1,2,3,3,0,1,6,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,0,2,4,3,4,3,2,1,1,1,0,2
124,0,0,1,1,4,4,0,5,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,0,2,0,2,0,1,-1,2,0,0,2
125,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,2,1,0,1
126,0,1,2,2,2,0,3,2,22,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,0,2,4,3,4,3,2,1,1,1,1,0
127,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,1,2,0,0
128,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,5,5,0,0,1,0,2,2
129,0,1,2,3,3,3,2,4,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,0,2,4,3,4,3,2,-1,0,2,1,1
130,0,0,1,1,1,1,4,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,1,1,-1,2,1,1,0
131,0,1,2,2,2,0,1,6,23,1,0,0,0,0,0,0,0,0,1,1,0,3,4,4,2,0,0,0,2,3,4,0,7,2,1,1,1,1,2
132,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,6,4,0,0,2,1,1,1
133,0,0,1,1,1,4,0,5,-1,-1,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,0,2,0,2,1,1,-1,0,0,2,2
134,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,0,0,0,1
135,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,0,2,2,1
136,0,0,1,1,1,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,2,0,0,2,1
137,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,2,0,1,2
138,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,2,0,2,0,2,0,1,-1,1,0,0,1
139,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,1,2,1,2
140,0,1,2,3,3,3,2,4,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,0,2,4,3,4,3,2,1,1,1,2,0
141,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,3,5,1,2,0,0,2,0,2,0
142,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,0,2,0,2,0,1,2,1,0,0,0
143,0,1,2,3,3,0,1,6,21,1,0,0,0,0,0,0,0,0,1,2,3,2,4,4,2,0,0,0,2,4,3,4,3,2,1,2,2,0,1
144,0,1,2,2,2,0,3,2,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,0,0,3,4,0,7,2,1,1,1,1,2
145,0,1,0,2,2,5,5,3,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,0,0,3,4,0,7,2,1,0,2,0,1
146,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,0,1,1,1
147,0,0,1,1,1,1,4,1,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,3,0,2,3,6,1,-1,2,1,2,0
148,0,0,1,1,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,0,2,0,2,0,1,-1,0,1,1,1
149,0,1,2,3,3,3,2,4,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,0,2,4,3,4,3,2,-1,1,0,2,2
150,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,1,1,2,0,0,1,1,2,2
