,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12
10,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,4,4,3,0,1,1,1,4,0,1,3,0,-1,155,91,52,58,108,89,64,91,44,30,26,148
11,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,4,0,6,2,0,0,0,0,2,1,0,0,0,-1,169,182,36,7,153,121,188,30,146,173,145,142
12,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,1,1,4,2,0,1,1,1,1,3,4,6,0,-1,210,9,124,205,160,156,102,0,173,17,138,26
13,0,1,2,3,3,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,1,7,0,0,0,0,0,2,2,4,0,-1,62,18,8,165,73,205,44,7,197,202,160,132
14,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,4,2,0,1,1,1,1,3,4,6,0,-1,24,57,12,177,154,126,210,73,124,140,74,208
15,0,1,0,2,2,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,2,0,0,0,0,0,2,1,0,0,0,-1,139,186,167,159,169,198,202,10,4,164,193,88
16,0,1,2,1,4,0,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,0,1,0,0,1,1,3,1,4,5,1,0,-1,161,209,191,103,125,30,160,144,95,150,50,123
17,0,1,0,2,2,2,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,6,1,0,0,0,0,2,1,0,2,0,-1,104,212,11,31,147,12,153,10,131,7,182,178
18,0,0,1,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,1,4,5,1,0,1,156,44,206,122,56,65,64,107,143,145,82,33
19,0,0,1,0,0,1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,4,0,4,6,0,-1,175,126,51,203,65,24,197,1,37,37,142,196
20,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,4,0,1,3,0,2,171,79,178,28,136,169,137,23,6,163,112,187
21,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,0,6,0,0,2,2,3,5,3,5,0,0,132,11,6,175,183,41,79,179,182,212,160,160
22,0,0,1,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,4,0,5,1,0,-1,35,45,37,48,147,13,138,139,51,206,91,35
23,0,1,0,2,1,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,5,6,0,0,0,0,2,1,6,2,0,-1,152,182,199,19,77,151,105,201,209,8,204,106
24,0,0,1,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,1,4,5,1,0,-1,53,152,19,144,155,162,1,42,71,100,91,4
25,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,0,0,7,0,0,0,0,2,1,0,0,0,-1,33,102,72,159,201,97,177,151,207,96,175,59
26,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,4,4,3,0,1,1,1,4,0,1,3,0,-1,196,21,174,60,76,162,44,130,141,83,106,120
27,0,0,1,1,0,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,0,3,7,0,1,1,3,1,4,5,1,0,-1,77,82,36,98,33,212,194,90,97,156,7,142
28,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,0,5,0,1,1,1,4,0,1,6,0,-1,101,141,29,40,128,78,21,3,62,5,56,19
29,0,0,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,3,0,0,0,0,0,0,2,2,4,0,-1,166,144,206,189,145,144,46,52,130,17,162,39
30,0,0,1,0,0,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,3,1,4,5,1,0,-1,183,149,63,9,143,7,150,204,98,68,195,177
31,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,4,6,4,0,1,1,1,4,0,1,3,0,-1,13,145,12,188,180,81,42,118,87,103,4,194
32,0,1,2,3,1,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,3,0,0,0,0,2,1,6,2,0,-1,136,131,11,213,47,138,23,20,93,84,200,17
33,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,3,2,0,0,1,1,1,4,3,4,6,0,-1,206,129,132,163,175,122,126,142,53,83,136,89
34,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,0,4,0,1,1,1,4,0,1,3,0,2,32,38,31,65,23,192,210,95,101,103,167,12
35,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,3,0,5,0,1,1,3,1,3,4,6,0,-1,170,197,200,27,142,54,44,1,98,31,200,38
36,0,0,2,1,4,0,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,0,1,7,0,1,1,3,1,4,5,1,0,-1,139,31,189,70,126,56,114,22,75,204,25,90
37,0,0,1,0,0,0,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,1,0,3,2,0,1,1,3,1,4,5,1,0,-1,38,142,91,77,113,1,193,45,2,83,75,143
38,0,1,0,2,2,2,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,5,7,0,0,0,0,2,1,0,7,0,-1,16,5,20,141,48,71,47,190,42,211,157,196
39,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,5,1,7,0,0,2,0,0,2,2,4,0,-1,98,44,174,119,154,200,204,56,47,34,70,195
40,0,1,0,2,2,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,1,1,0,0,0,0,2,1,0,0,0,-1,197,4,17,64,65,18,112,151,200,91,177,209
41,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,6,3,0,1,1,1,4,0,1,3,0,-1,143,111,0,30,143,26,94,176,119,203,3,150
42,0,0,2,3,3,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,6,0,0,2,0,2,1,0,0,0,-1,134,94,166,21,203,41,22,10,181,123,66,22
43,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,1,1,0,1,1,1,4,3,4,6,0,-1,85,58,164,207,118,71,26,48,138,38,156,52
44,0,1,2,3,1,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,1,0,0,0,0,2,1,6,2,0,-1,194,65,37,24,95,30,98,103,31,31,133,44
45,0,0,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,5,5,0,0,2,0,0,2,2,4,0,-1,71,31,192,127,44,148,59,168,50,72,31,63
46,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,0,4,0,1,1,1,4,0,1,3,0,-1,170,196,193,162,31,131,148,50,177,160,188,29
47,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,4,2,4,0,1,1,1,4,0,1,3,0,-1,68,43,186,119,120,17,70,32,23,123,85,81
48,0,0,2,3,4,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,4,2,4,5,0,0,2,0,0,2,2,4,0,-1,110,13,175,111,104,20,34,76,151,40,91,51
49,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,0,1,7,0,0,0,0,2,1,0,0,0,-1,181,73,28,92,102,195,188,169,171,6,91,135
50,0,0,2,1,4,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,3,5,0,1,1,3,1,4,5,1,0,-1,198,152,21,129,49,212,212,144,121,33,5,158
51,0,1,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,3,5,0,0,0,0,0,2,2,4,0,-1,168,17,30,175,11,123,105,129,73,49,74,207
52,0,0,1,1,4,0,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,2,4,0,1,1,3,1,3,5,6,0,-1,132,69,213,114,76,80,71,106,133,140,127,179
53,0,1,2,1,4,0,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,1,2,0,1,1,3,1,4,5,1,0,-1,152,127,19,84,197,112,121,167,116,21,83,138
54,0,0,1,1,4,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,2,2,0,1,1,3,1,4,5,1,0,-1,42,142,37,9,78,109,54,207,202,198,89,54
55,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,4,0,2,0,1,1,1,4,3,4,6,0,-1,171,133,157,170,59,11,89,47,75,117,91,107
56,0,0,2,1,0,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,1,0,0,4,0,1,1,3,1,4,5,1,0,-1,26,119,150,20,27,96,205,131,79,194,17,14
57,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,4,2,0,1,1,1,4,0,1,3,0,-1,65,119,194,90,166,188,102,207,213,37,128,175
58,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,1,5,4,0,1,1,1,1,3,4,6,0,-1,132,128,184,25,166,142,37,139,199,19,67,110
59,0,1,0,2,2,2,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,6,1,0,0,0,0,2,1,0,0,0,-1,117,57,30,15,109,57,52,38,204,65,109,145
60,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,4,6,3,0,1,1,1,4,0,1,3,0,-1,152,213,160,141,49,191,57,67,53,87,98,5
61,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,0,1,6,0,0,0,0,2,1,0,0,0,-1,71,44,182,182,54,112,207,139,185,49,179,51
62,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,1,4,5,0,0,2,2,0,2,2,4,0,-1,169,91,109,131,75,198,8,32,75,80,29,7
63,0,0,1,0,0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,1,4,5,1,0,1,82,54,213,81,4,199,54,28,53,132,137,196
64,0,0,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,5,0,0,2,0,0,2,2,4,0,-1,126,120,72,19,136,124,50,64,165,79,14,140
65,0,1,0,2,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,0,1,7,0,0,0,0,2,1,0,0,0,-1,205,94,73,35,207,30,151,146,73,197,174,5
66,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,0,1,7,0,0,0,0,2,1,0,0,0,-1,110,45,105,141,167,34,194,38,34,119,70,18
67,0,1,2,3,3,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,3,5,0,0,2,0,0,2,2,4,0,-1,194,167,18,49,61,91,38,167,170,107,20,94
68,0,0,2,3,3,3,2,1,-1,-1,-1,-1,0,0,0,0,1,0,1,0,1,4,5,3,5,0,0,2,0,0,2,2,4,0,-1,23,73,62,170,10,123,91,118,16,116,210,124
69,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,4,3,4,0,1,1,1,4,0,1,3,0,-1,82,178,52,134,155,139,140,37,142,165,186,188
70,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,1,0,3,2,0,1,1,1,1,3,4,6,0,-1,211,32,66,191,159,124,92,86,50,18,11,110
71,0,1,0,1,1,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,3,1,0,0,1,1,3,1,4,5,1,0,-1,24,51,140,102,193,75,143,137,103,115,198,90
72,0,1,0,2,2,2,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,2,3,3,1,6,0,0,0,3,2,1,4,7,0,-1,175,179,154,100,166,98,113,154,213,80,44,176
73,0,1,0,3,2,2,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,1,7,0,0,0,0,2,1,0,0,0,-1,44,60,209,115,121,88,194,104,146,62,12,197
74,0,1,2,3,3,3,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,1,0,0,0,0,0,2,2,4,0,-1,90,180,199,107,176,209,137,207,126,187,49,57
75,0,1,2,3,3,3,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,5,3,7,0,0,2,0,0,2,2,4,0,-1,57,178,84,156,34,164,3,132,128,108,127,187
76,0,0,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,0,2,0,0,2,2,4,0,-1,112,24,34,9,3,213,21,10,25,12,33,95
77,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,0,4,0,1,1,1,4,0,1,3,0,2,59,149,148,34,162,210,42,172,196,108,81,42
78,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,4,3,1,0,1,1,1,4,0,1,3,0,-1,114,129,27,205,23,110,5,85,52,142,18,74
79,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,4,0,5,1,0,-1,60,45,79,129,26,10,16,112,169,89,54,87
80,0,1,0,1,2,0,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,6,0,0,1,1,3,1,3,4,7,0,-1,101,62,62,151,87,113,133,52,4,77,29,110
81,0,1,2,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,1,7,0,0,0,0,0,2,0,0,0,-1,167,154,47,160,95,70,42,12,179,144,101,193
82,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,4,0,0,1,1,1,1,3,4,6,0,-1,54,151,102,47,3,12,103,77,24,163,158,157
83,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,4,0,1,1,1,4,0,1,3,0,-1,133,18,212,23,89,67,27,19,192,118,166,95
84,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,4,1,0,1,1,1,4,0,1,3,0,-1,51,100,119,81,35,97,145,201,37,195,3,93
85,0,0,2,1,4,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,3,0,5,2,5,0,1,1,3,1,4,5,1,0,-1,88,120,191,150,212,64,41,177,147,160,61,95
86,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,4,4,6,0,0,2,2,3,5,3,5,0,0,0,199,75,167,57,53,202,162,116,2,123,10
87,0,0,1,1,4,5,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,3,2,0,1,1,3,1,3,4,6,0,-1,151,207,102,137,49,118,210,2,66,129,213,44
88,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,2,4,3,0,0,2,2,0,2,2,4,0,-1,28,176,136,185,163,89,16,132,182,42,40,161
89,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,0,2,0,1,1,1,1,3,4,6,0,-1,167,193,161,66,37,181,84,97,188,142,195,150
90,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,0,4,4,7,0,1,1,1,4,3,4,6,0,-1,71,55,58,124,160,185,146,113,104,174,11,24
91,0,1,0,2,2,2,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,5,6,3,0,1,0,3,1,1,5,7,0,-1,183,89,75,133,169,212,146,73,160,134,162,24
92,0,0,2,1,4,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,0,1,2,0,1,1,3,1,4,5,1,0,-1,36,93,61,166,141,109,122,168,86,2,156,122
93,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,0,4,0,1,1,1,4,0,1,3,0,-1,209,3,117,133,204,133,39,118,17,94,199,168
94,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,4,4,0,1,1,1,4,3,4,6,0,-1,147,104,173,160,147,149,104,126,6,118,63,164
95,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,4,0,1,3,0,-1,178,196,53,164,6,50,151,134,201,18,49,125
96,0,1,2,3,1,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,1,0,0,0,0,2,2,6,2,0,-1,159,62,21,86,110,63,162,40,124,8,147,206
97,0,1,0,1,1,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,0,6,3,0,1,0,3,1,4,5,1,0,-1,137,184,174,125,7,46,151,64,54,45,60,2
98,0,0,2,3,3,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,4,5,5,5,0,0,2,0,0,2,2,4,0,-1,199,85,37,49,33,162,211,135,111,138,184,132
99,0,1,2,1,2,0,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,0,3,2,0,1,1,3,1,4,5,1,0,-1,100,83,21,197,174,145,213,125,139,63,86,10
100,0,1,0,1,2,0,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,5,1,7,0,1,1,3,1,3,4,7,0,-1,18,37,107,22,190,47,185,94,150,58,56,3
101,0,0,2,3,4,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,5,1,1,0,0,2,0,0,2,2,4,0,-1,37,42,168,79,7,172,109,82,101,146,123,52
102,0,0,1,1,4,0,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,5,4,0,1,1,3,1,4,5,1,0,-1,176,97,110,41,135,118,28,6,106,142,64,42
103,0,1,0,2,2,2,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,5,1,0,0,0,0,2,1,0,0,0,-1,5,135,66,148,55,127,166,139,153,90,190,60
104,0,0,1,0,0,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,3,1,4,5,1,0,-1,125,43,203,169,203,171,81,42,87,140,198,192
105,0,0,2,3,3,3,2,1,-1,-1,-1,-1,0,0,0,0,1,0,1,0,1,4,5,3,5,0,0,2,0,0,2,2,4,0,-1,54,48,190,100,135,158,43,123,192,182,64,20
106,0,0,1,0,0,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,1,0,4,0,1,1,1,4,0,1,3,0,-1,77,92,171,167,23,45,11,6,161,154,21,23
107,0,1,2,1,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,2,3,2,0,1,1,3,1,4,5,1,0,-1,132,50,195,161,85,122,118,120,149,92,118,161
108,0,1,2,3,3,3,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,2,2,1,1,0,0,0,0,0,2,6,2,0,-1,157,206,19,141,175,159,133,34,182,36,32,170
109,0,1,0,3,3,3,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,5,1,1,0,0,0,0,2,1,0,0,0,-1,31,154,11,203,5,14,118,55,54,127,60,142
110,0,0,1,0,4,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,0,5,3,0,0,2,2,0,2,2,4,0,-1,166,200,137,132,154,15,69,146,97,184,80,54
111,0,0,1,0,4,5,4,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,2,2,1,0,4,2,0,1,1,1,1,3,4,6,0,-1,114,138,76,146,31,22,22,119,167,160,65,100
112,0,0,1,1,0,0,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,3,1,4,5,1,0,-1,155,89,47,167,185,63,99,26,145,164,1,114
113,0,1,0,2,1,4,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,1,1,0,0,0,0,2,1,6,2,0,-1,183,114,51,135,181,61,186,126,91,184,196,116
