,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17
113,0,1,1,0,0,5,6,1,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1
114,0,0,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,3,2,1,4,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
115,0,1,1,0,0,5,0,3,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,3,2,4,0,7,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
116,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
117,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
118,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
119,0,0,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
120,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
121,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
122,0,1,0,2,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,1,4,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1
123,0,1,1,0,0,5,0,3,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,3,2,4,0,7,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1
124,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0
125,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
126,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
127,0,0,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0
128,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1
129,0,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
130,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
131,0,1,1,0,0,5,6,1,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0
132,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1
133,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
134,0,0,2,1,1,4,1,2,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,0,1,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0
135,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,1,1,3,4,2,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0
136,0,1,1,2,4,2,2,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
137,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
138,0,0,2,1,1,4,1,2,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,0,1,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0
139,0,0,0,3,3,0,3,5,-1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
140,0,1,1,0,0,5,6,1,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1
141,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,2,2,4,6,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1
142,0,1,1,2,4,3,5,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,6,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1
143,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1
144,0,1,1,0,0,5,6,1,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1
145,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1
146,0,1,0,2,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,3,2,1,4,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
147,0,0,2,1,1,4,1,2,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,1,1,1,2,6,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
148,0,1,1,0,0,5,6,1,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
149,0,1,1,0,0,5,0,3,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,3,2,4,0,7,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
150,0,0,2,1,1,1,4,7,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,3,4,6,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
151,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
152,0,1,1,0,0,5,6,1,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
153,0,1,1,0,0,5,0,3,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,3,2,4,0,7,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0
154,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
155,0,0,2,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
156,0,1,1,0,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,0,1,1,3,4,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
157,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1
158,0,1,1,0,0,5,6,1,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0
159,0,0,2,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,0,0,0,1,2,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0
160,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,1,1,1,2,6,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0
161,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,1,1,1,2,6,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1
162,0,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
163,0,1,1,0,0,5,0,3,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,3,2,4,0,7,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
164,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,2,4,6,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
165,0,0,0,3,2,3,5,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1
166,0,0,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
167,0,1,0,2,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,1,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
168,0,0,0,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
169,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
170,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1
171,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,5,0,1,0,1,1,1,2,6,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
172,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1
173,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
174,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,1,1,1,2,6,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
175,0,0,0,3,2,3,5,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1
176,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
177,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,2,2,4,6,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
178,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
179,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,6,2,0,0,1,2,2,4,6,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1
180,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0
181,0,1,0,2,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,1,4,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
182,0,0,0,3,2,3,5,0,-1,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,3,2,1,4,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
183,0,0,2,1,2,1,4,7,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,3,4,6,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1
184,0,0,0,3,2,3,5,0,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,3,2,1,4,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1
185,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0
186,0,0,0,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
187,0,1,1,2,4,2,2,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1
188,0,0,2,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,0,1,2,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
189,0,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1
190,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,3,4,2,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
191,0,0,0,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,0,0,0,5,5,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
192,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,1,1,1,2,6,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
193,0,0,0,3,3,0,3,5,-1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
194,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0
195,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0
196,0,1,1,0,0,5,6,1,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0
197,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,2,2,4,6,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1
198,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
199,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
200,0,1,1,0,0,5,0,1,-1,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,3,2,4,0,7,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
201,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
202,0,1,1,0,0,5,6,1,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1
203,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,6,2,0,0,1,2,2,4,6,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
204,0,1,1,0,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,0,1,1,3,4,2,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0
205,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,0,1,1,3,4,2,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0
206,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,2,3,2,4,0,7,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1
207,0,0,2,1,1,4,1,2,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,1,1,1,2,6,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0
208,0,0,0,3,3,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
209,0,1,0,2,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,1,4,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
210,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1
211,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,1,1,3,4,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
212,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0
213,0,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1
214,0,0,2,1,1,1,4,7,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,1,2,6,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
215,0,0,2,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,1,1,1,2,6,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
216,0,1,1,0,2,1,4,4,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,0,1,1,3,4,2,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
217,0,1,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,3,2,1,4,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1
218,0,1,0,3,2,3,5,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,3,2,1,4,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
219,0,1,1,0,0,5,6,1,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,3,2,4,0,7,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1
220,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,1,1,3,4,2,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
221,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1
222,0,1,1,0,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,0,1,1,3,4,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
223,0,1,1,2,4,2,2,6,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1
224,0,0,0,3,3,0,3,5,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,0,0,5,5,3,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0
225,0,0,2,1,1,4,1,2,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,1,1,1,2,6,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
226,0,1,1,2,4,2,0,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,3,2,4,0,7,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0
227,0,0,2,1,1,1,4,7,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,3,4,6,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0
228,0,1,1,2,4,3,2,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,3,2,6,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
229,0,0,2,1,1,1,4,7,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,1,1,3,4,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
230,0,0,2,1,1,4,1,2,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,0,1,2,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1
231,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,4,6,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1
232,0,0,2,1,2,1,4,4,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,1,1,3,4,2,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
233,0,1,1,0,0,5,6,1,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,3,4,0,3,5,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1
234,0,1,1,2,4,2,2,6,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,2,4,6,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1
