,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3
11,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,2,1,2,1,4,4,0,1,2,0,0
12,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,4,4,0,1,1,1,2
13,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,0,0
14,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,2,0
15,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,2,1
16,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,4,4,0,1,0,1,1
17,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,0,1
18,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,0
19,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,1,2,1
20,0,0,0,3,0,2,5,7,-1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,1,3,4,4,5,5,1,2,1,2,1
21,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,0,1
22,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,0,2,1
23,0,0,0,2,4,5,2,5,-1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,1,0,2
24,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,2,2
25,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,1,1
26,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,2,0
27,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,2,0
28,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,1,4,4,5,5,1,2,1,2,1
29,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,0,2,0
30,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,2,2,2
31,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,0,0
32,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,1,2
33,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,1,3,4,4,5,5,1,2,0,1,1
34,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,0,0,1
35,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,0,0
36,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,1,1,1,2,0,2,1,2,1,2,0
37,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,2,1
38,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,0,2
39,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,7,1,2,2,1,0
40,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,1
41,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,3,4,4,5,5,1,2,2,2,1
42,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,2,1,2,1,4,4,0,1,1,1,2
43,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,2,2,2
44,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,1,0
45,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,2,1,2
46,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,0,1,1
47,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,2,0
48,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,2,2,1
49,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,3,4,4,5,5,1,2,0,1,1
50,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,0,2,0
51,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,2,1,2,0,2,1
52,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,0,0
53,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,0,1,2
54,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,1
55,0,0,0,2,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,2,6,0,0,1,1,1,2,0,2,1,2,0,1,1
56,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,2,1,2,1,4,4,0,1,2,1,0
57,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,1,1,1,2,0,2,1,2,0,1,0
58,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,0,0
59,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,3,4,4,5,5,1,2,2,2,1
60,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,1,3,4,4,5,5,1,2,2,1,2
61,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,0,2
62,0,0,0,3,0,2,5,7,3,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,0,1,3,4,4,5,5,1,2,0,2,1
63,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,2,1
64,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,0,1,0
65,0,1,1,0,1,4,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,1,0
66,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,2,1,1
67,0,0,2,1,2,0,4,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,2,1,1
68,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,6,6,0,1,1,1,1
69,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,2,1,2,1,6,6,0,1,2,1,2
70,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,1,0
71,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,2,2,1
72,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,4,4,0,1,1,2,2
73,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,0,1,1,1,2,0,2,1,2,2,2,0
74,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,1,2
75,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,6,6,0,1,0,1,0
76,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,2,1,2,1,4,4,0,1,1,0,0
77,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,2,1
78,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,2,0
79,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,1,0,2
80,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,6,6,0,1,2,1,1
81,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,0,0,1
82,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,1,1,2
83,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,3,4,4,5,5,1,2,1,0,2
84,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,7,1,2,1,2,2
85,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,1,2,2
86,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,2,0
87,0,0,2,1,2,3,4,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,0,2,1
88,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,0,2
89,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,1,2,1
90,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,0,0
91,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,7,1,2,1,2,0
92,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,0,0,0
93,0,0,2,1,2,3,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,4,4,0,1,2,2,1
94,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,6,6,0,1,1,0,1
95,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,1,1
96,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,0,2
97,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,2,1,2,1,4,4,0,1,0,1,1
98,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,1,1,2,0,2,1,2,2,1,0
99,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,1,1,2
100,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,1,1
101,0,0,2,1,2,3,4,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,2,0,2
102,0,1,1,0,3,1,3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,2,0
103,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,1,1,2,0,2,1,2,1,2,0
104,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,0,2
105,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,1,4,4,5,5,1,2,0,0,1
106,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,1,1
107,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,3,4,4,5,5,1,2,0,1,0
108,0,0,2,1,2,0,4,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,2,1,2,1,4,4,0,1,1,2,2
109,0,0,0,2,4,5,2,5,4,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,7,1,2,1,0,0
110,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,1,1,2,0,2,1,2,0,0,2
111,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,1,1,2,0,7,1,2,1,2,0
112,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,6,6,0,1,1,2,1
113,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,0,2,0
114,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,6,6,0,1,0,0,1
115,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,7,1,2,2,2,1
116,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,2,2,2
117,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,2,1,2,1,1,2
118,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,1,1,1
119,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,2,0,2
120,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,1,1,2,0,2,1,2,1,2,0
121,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,0,0
122,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,2,1,2,1,4,4,0,1,1,1,0
123,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,0,1,3,4,4,5,5,1,2,0,0,2
124,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,2,1,0
125,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,0,1
126,0,0,0,2,4,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,0,1,1,1,2,0,7,1,2,0,1,2
127,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,2,1,2,2,0,2
128,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,1,1
129,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,2,1,2,1,4,4,0,1,0,1,0
130,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,2,1,2,1,4,4,0,1,2,2,2
131,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,2
132,0,0,2,1,2,3,4,6,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,2,1,2,1,6,6,0,1,0,0,1
133,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,0,2,2
134,0,0,2,1,2,3,1,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,0,3,0,0,1,2,1,2
135,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,3,4,4,5,5,1,2,0,1,2
136,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,0
137,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,1,1
138,0,0,0,3,0,2,6,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,0,1,1,1,2,0,7,1,2,0,1,1
139,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,0
140,0,0,0,2,4,5,6,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,0,1,1,1,2,0,2,1,2,0,1,2
141,0,0,2,1,2,3,4,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,2,1,2,1,6,6,0,1,1,2,0
142,0,1,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,0,2,2
143,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,2,2
144,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,0,2,0
145,0,0,2,1,2,0,4,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,2,1,2,1,4,4,0,1,1,0,2
146,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,2,2,2
147,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,2,1,1
148,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,2,1,0
149,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,2,2,2
150,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,3,1,1,2,0,1,1,1
151,0,0,2,1,2,3,1,6,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,2,1,2,1,4,0,0,1,2,0,0
152,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,0,0
153,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,1,2
154,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,3,5,2,3,2,0,1,2,1
155,0,0,0,3,0,2,5,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,0,1,3,4,4,5,5,1,2,0,1,2
