,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25
10,0,0,2,2,0,2,6,2,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,5,0,0,0,2,2,2,3,1,2,0,2,0,2,2,3,0,1,1,0,0,0,3,3,3,3,0,1
11,0,0,1,1,1,5,2,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,2,0,2,2,0,0,1,1,3,0,2,1,3,1,0,1,0,1,2,1,2,0,3,2,2,2,1,0,2,3,0
12,0,1,0,0,4,1,3,7,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,3,0,2,1,7,0,0,0,3,1,3,3,3,0,1,3,1,1,0,0,0,3,0,0,1,2,0,2,1,1,3,0
13,0,1,0,0,2,1,3,5,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,4,1,6,0,0,3,3,1,1,0,1,1,0,0,2,0,1,2,1,1,2,0,1,1,2,0,2,3,2,0
14,0,0,1,1,1,0,4,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,2,2,0,6,0,0,0,1,1,2,2,2,1,2,1,2,0,0,1,2,2,1,0,3,1,1,0,2,2,2,3,1
15,0,1,1,3,3,3,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,0,3,1,3,0,2,2,3,1,1,1,1,2,1,1,2,1,3,2,1,3,0,3,3,1
16,0,1,0,3,3,3,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,6,0,0,2,3,3,3,3,3,2,2,0,0,0,2,2,3,3,2,2,2,2,2,0,1,1,3,3
17,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,1,3,2,1,0,1,0,3,1,2,1,3,1,2,3,2,1,2,2,2,1,0,0,3,0
18,0,1,1,3,3,3,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,2,2,0,0,3,0,3,0,3,0,0,2,1,3,0,0,1,2,0,3,1,2,1,3,1
19,0,1,0,0,2,1,3,5,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,0,3,0,2,1,6,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,0,2,0,0,0,3,3,1,1,2,3,1
20,0,0,2,2,0,2,6,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,0,2,1,1,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1,3,2,1,2,1,3,0,1,3,3,1,3
21,0,1,1,3,3,3,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,1,0,1,0,3,1,0,1,0,3,2,1,3,0,3,3,2,3,3,1,2,2,1,2,3
22,0,0,1,1,1,5,2,4,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,6,0,0,0,2,1,3,2,0,0,3,3,0,0,0,0,0,1,0,2,3,3,0,2,2,1,1,3,0
23,0,1,1,3,3,3,0,3,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,0,3,2,2,3,2,3,1,0,0,1,0,2,2,1,2,3,3,3,2,0,3,0,3,3
24,0,1,0,0,2,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,4,1,6,0,0,3,3,0,2,0,0,0,2,2,3,2,1,0,2,3,0,2,0,3,2,2,0,0,1,3
25,0,0,1,1,1,5,2,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,2,2,0,0,0,2,2,0,1,0,0,3,3,3,1,2,3,0,1,2,3,0,1,0,0,0,1,3,0
26,0,1,0,3,3,3,3,5,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,1,0,3,2,1,6,0,0,2,0,1,3,3,3,3,2,0,2,1,1,1,2,3,1,2,3,3,1,2,1,0,1,1
27,0,1,0,0,2,1,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,0,2,2,0,1,3,3,2,2,0,3,3,3,0,0,1,3,1,1,1,0,3,1,3,3
28,0,0,2,2,0,2,6,2,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,5,0,0,1,3,2,3,3,2,2,2,0,3,0,2,3,1,1,0,1,3,0,3,3,3,3,0,1
29,0,1,1,3,3,3,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,2,3,2,1,2,1,2,1,1,2,1,0,2,1,0,1,1,1,1,1,0,0,2,0,2
30,0,1,1,3,3,3,0,1,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,3,1,6,0,0,0,2,3,2,1,0,1,3,0,2,2,3,3,1,0,1,0,2,1,1,3,3,2,2,2,3
31,0,0,1,1,1,5,2,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,6,0,0,0,0,2,3,1,2,2,0,1,2,1,0,1,3,1,3,0,1,2,3,2,0,1,1,0,0
32,0,0,2,2,0,2,6,2,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,5,0,0,3,2,0,2,1,3,0,3,0,0,0,2,1,1,2,2,2,2,0,2,0,2,3,3,3
33,0,1,0,0,2,1,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,3,1,1,1,2,1,3,0,0,0,1,3,2,0,3,3,1,1,1,2,1,1,1,1,1
34,0,0,1,1,1,5,2,4,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,2,2,0,0,1,2,3,2,2,2,1,1,0,2,3,3,0,3,0,0,1,0,1,1,1,2,3,1,0
35,0,0,2,2,4,4,4,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,1,0,2,1,1,0,0,1,0,2,0,1,2,0,1,2,1,2,0,0,3,2,3,1,1,2,3,2,1,3,0,0
36,0,0,2,2,4,4,1,7,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,2,1,0,2,1,7,0,0,3,3,1,2,1,3,0,3,2,3,3,2,3,3,1,0,0,0,1,2,1,3,3,3,1
37,0,0,1,1,1,5,2,4,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,2,0,1,1,0,0,2,3,0,2,2,1,3,3,0,2,2,2,0,0,1,2,1,2,3,1,2,3,0,2,2
38,0,0,2,2,0,2,6,6,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,1,0,0,0,1,2,1,1,1,1,2,1,1,2,2,0,1,3,1,1,0,1,3,2,2,1,1,1
39,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,2,0,1,2,1,1,0,1,0,1,0,0,2,1,0,1,2,1,3,2,2,3,1,1,0
40,0,1,1,3,3,0,4,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,3,1,6,0,0,0,1,0,1,0,2,0,3,2,3,1,1,0,2,3,1,0,2,1,0,3,0,3,0,2,1
41,0,0,1,1,1,0,4,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,2,0,2,1,0,0,0,1,2,2,1,1,1,1,2,3,3,3,2,2,0,2,1,2,1,0,1,0,3,3,2,0
42,0,0,1,1,1,5,2,4,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,2,0,2,2,0,0,1,2,0,2,2,2,0,2,1,1,0,3,0,1,2,0,0,2,1,1,2,3,3,1,2
43,0,0,2,2,0,2,6,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,0,2,1,1,0,0,3,3,3,2,3,0,2,1,3,2,3,1,1,3,3,0,2,2,1,3,0,3,2,2,0
44,0,1,0,0,4,4,1,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,3,0,5,5,7,0,0,3,3,2,3,0,2,0,1,2,1,3,1,3,2,2,3,1,2,0,1,1,2,3,3,3
45,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,1,1,3,0,2,3,1,1,3,0,2,1,3,0,1,0,1,1,1,2,1,2,3,1,2
46,0,1,1,3,3,3,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,2,3,0,0,1,2,2,2,1,2,1,2,1,3,0,2,0,3,0,2,0,3,0,2,1
47,0,1,0,3,3,3,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,6,0,0,1,2,3,3,2,3,2,1,0,2,3,0,0,1,1,1,3,3,2,0,2,1,2,3,2
48,0,1,1,3,3,3,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,1,0,1,2,0,3,0,3,0,2,2,0,3,3,2,3,2,3,0,2,3,3,2,0,3
49,0,1,1,3,3,0,4,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,0,2,1,0,0,0,0,0,3,1,0,1,2,3,1,1,1,2,2,3,1,2,3,2,2,3,0,2,1,2,1
50,0,1,1,3,3,3,0,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,0,2,3,1,0,0,1,0,3,0,3,3,0,1,2,3,2,0,1,2,0,1,2,3,2
51,0,0,2,2,4,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,1,1,5,5,7,0,0,1,0,0,0,2,0,3,3,0,1,0,3,1,2,0,3,1,3,0,3,3,0,2,1,0
52,0,1,1,3,3,3,0,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,0,2,1,2,0,3,3,3,1,3,1,1,1,3,2,3,0,3,3,2,1,3,0,1,0
53,0,1,0,0,4,1,3,7,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,3,0,2,1,7,0,0,0,0,0,1,1,1,3,3,3,1,2,3,0,2,3,1,1,1,1,3,0,0,1,3,2
54,0,1,1,3,3,3,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,6,0,0,1,2,2,0,3,1,0,2,2,0,3,0,3,2,0,3,0,3,1,1,0,3,3,0,2
55,0,0,2,2,0,2,6,2,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,5,0,0,3,3,1,3,3,2,3,3,1,3,3,3,1,1,3,2,3,2,0,1,2,3,0,1,1
56,0,0,2,1,1,0,4,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,2,0,2,1,1,0,0,3,3,1,2,3,2,0,0,1,2,3,1,1,0,0,2,3,3,1,1,3,1,0,2,0
57,0,1,0,3,2,1,3,5,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,1,0,0,3,4,1,6,0,0,2,1,3,3,2,2,1,1,1,1,0,2,3,3,0,0,2,2,3,0,2,1,1,2,3
58,0,0,2,2,0,2,6,6,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,1,0,0,1,3,2,3,0,3,0,1,0,1,0,1,3,0,3,0,3,1,1,3,0,1,0,1,0
59,0,1,0,3,3,0,3,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,0,0,0,2,1,6,0,0,0,3,0,2,2,0,0,0,2,2,0,0,1,3,0,0,3,1,1,0,2,3,2,0,2
60,0,1,1,3,3,0,3,5,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,1,1,0,0,2,1,6,0,0,2,2,0,3,1,1,2,0,2,3,3,0,2,2,3,2,3,2,3,2,0,3,2,1,0
61,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,3,0,3,1,3,2,3,0,3,2,0,0,3,1,2,0,3,1,3,3,1,3,3,3,2
62,0,0,2,1,1,5,4,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,2,0,2,1,1,0,0,3,2,2,3,3,2,1,3,2,0,3,0,2,3,2,1,2,3,3,2,0,2,2,1,1
63,0,1,0,0,2,1,3,5,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,0,2,1,6,0,0,2,1,0,2,2,2,0,3,2,3,1,1,2,2,0,2,3,0,1,3,1,1,2,0,1
64,0,0,2,2,4,4,1,7,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,1,0,5,5,7,0,0,1,2,0,1,1,3,0,2,0,0,1,3,3,3,1,0,0,3,3,3,0,0,0,3,1
65,0,1,0,0,4,4,5,7,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,0,3,4,5,5,7,0,0,1,3,1,0,1,2,0,0,0,2,3,0,3,1,3,1,1,3,1,3,1,0,1,2,2
66,0,0,1,1,1,5,2,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,2,2,0,0,1,1,2,1,3,3,3,3,1,0,2,1,3,1,3,0,3,1,0,2,1,1,2,0,0
67,0,0,1,1,1,5,2,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,2,0,2,2,0,0,3,1,0,1,0,1,3,1,3,1,3,3,3,3,0,2,2,1,3,1,3,3,0,1,3
68,0,1,0,0,4,0,4,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,1,3,0,2,1,0,0,0,0,0,3,1,0,3,2,2,0,3,3,1,2,1,1,1,2,2,2,1,1,1,2,0,2
69,0,1,1,3,3,0,4,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,3,1,6,0,0,0,0,3,1,3,1,1,1,2,2,2,1,3,2,1,0,0,2,3,0,2,2,1,0,2,3
70,0,0,1,1,1,5,2,4,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,2,2,0,2,2,0,0,1,1,0,0,2,2,3,3,0,0,0,0,3,1,1,3,1,2,2,3,3,1,0,3,2
71,0,0,2,1,1,5,2,4,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,2,2,0,2,1,0,0,3,2,0,0,2,3,0,3,2,2,3,1,0,1,3,3,0,3,0,2,0,1,2,1,1
72,0,1,0,0,2,1,3,5,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,4,1,6,0,0,0,0,3,3,3,2,1,0,0,3,0,3,3,0,1,1,1,3,1,0,0,0,3,2,0
73,0,1,1,3,3,3,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,6,4,0,0,2,2,1,2,3,1,3,3,0,0,3,1,2,3,0,1,0,1,3,2,2,1,2,3,3
74,0,1,0,3,3,3,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,6,0,0,0,1,1,2,3,3,3,0,0,3,1,3,0,1,0,2,0,0,2,1,2,1,3,0,2
75,0,0,2,2,4,4,1,7,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,1,0,5,5,7,0,0,0,1,2,2,0,1,0,1,3,1,0,3,2,3,3,3,0,0,3,1,0,1,0,2,1
76,0,0,1,1,1,5,2,4,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,2,2,0,2,2,0,0,1,1,1,3,1,0,3,0,1,2,0,0,1,1,1,3,0,3,0,2,2,0,2,1,2
77,0,0,2,2,0,4,1,2,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,2,1,1,5,5,7,0,0,3,1,1,2,3,0,0,2,0,3,2,0,2,1,1,2,1,3,3,2,1,1,2,0,3
78,0,1,1,3,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,0,2,1,6,0,0,1,2,1,2,3,2,1,3,0,3,0,2,1,3,0,1,3,2,0,2,0,0,2,0,1
79,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,2,0,1,3,3,3,0,0,3,0,2,2,2,1,0,0,2,2,3,3,2,3,1,2,2
80,0,0,2,1,1,5,2,6,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,0,2,2,2,0,2,1,0,0,3,2,1,3,2,3,3,1,2,1,3,2,0,2,2,1,0,0,2,2,2,3,3,2,3
81,0,0,1,1,1,0,4,1,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,2,0,2,6,0,0,0,0,2,3,0,3,0,1,3,0,0,1,1,2,2,2,3,0,0,3,2,2,0,3,3,2
82,0,0,2,2,0,2,6,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,0,2,1,1,0,0,0,3,2,2,1,3,3,2,0,2,1,3,3,1,0,0,1,2,2,1,0,3,2,2,3
83,0,0,2,2,0,2,6,2,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,1,0,0,1,0,3,2,1,0,3,2,3,0,2,2,1,2,1,2,3,1,0,0,0,1,1,1,2
84,0,1,1,1,1,0,4,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,2,2,1,6,0,0,0,3,3,0,3,1,1,3,2,0,0,2,0,0,0,2,0,3,1,2,2,3,0,0,3,3
85,0,0,2,2,4,4,1,7,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,1,0,5,5,7,0,0,2,0,0,1,1,0,1,2,0,0,3,2,1,2,0,1,3,1,1,2,1,0,3,0,2
86,0,0,2,1,0,2,6,6,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,0,2,1,0,2,1,1,0,0,3,2,3,2,3,2,3,2,1,1,1,2,3,0,0,3,3,1,3,0,3,2,2,3,2
87,0,0,2,2,0,2,6,2,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,5,0,0,3,2,3,3,0,0,3,3,2,0,3,3,1,1,3,2,1,2,1,3,1,3,3,3,3
88,0,1,1,3,3,0,4,1,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,0,3,1,6,0,0,0,2,0,0,1,2,1,0,2,1,3,2,0,1,2,2,1,3,3,2,3,2,3,3,3,2
89,0,0,0,0,4,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,3,4,5,5,7,0,0,1,0,3,2,2,3,3,2,3,0,1,3,1,0,1,1,0,3,3,0,2,2,2,3,0
90,0,1,0,3,3,3,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,6,0,0,0,2,0,3,2,1,1,1,0,0,0,1,0,2,3,0,1,0,1,2,1,3,3,0,3
91,0,1,0,0,2,1,3,5,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,4,1,6,0,0,2,2,0,1,3,3,3,2,3,2,2,2,3,0,2,2,0,1,0,2,3,0,1,3,0
92,0,1,0,0,2,1,3,5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,0,2,1,6,0,0,1,0,0,3,1,1,2,3,1,0,3,3,2,1,3,2,1,3,0,3,1,0,1,2,2
93,0,1,0,3,3,3,3,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,0,0,3,1,4,6,0,0,3,2,2,0,2,1,1,0,3,2,2,0,1,0,1,3,1,3,2,2,0,0,2,1,3
94,0,1,1,3,3,3,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,3,0,2,1,3,3,1,1,3,2,0,3,0,1,1,0,3,3,3,2,2,3,0,3,1
95,0,1,0,0,2,1,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,4,4,3,3,0,0,2,1,3,2,0,2,1,2,2,0,0,1,3,3,2,0,0,3,1,3,2,1,2,3,1
96,0,1,0,0,2,1,3,5,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,4,1,6,0,0,3,2,3,3,1,1,1,3,3,3,0,1,0,0,3,3,1,2,1,2,3,1,3,2,1
97,0,1,1,3,3,3,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,3,1,4,4,0,0,1,1,0,0,2,1,1,2,0,1,0,0,1,1,2,0,3,3,0,2,2,0,0,2,1
98,0,0,2,2,0,2,6,2,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,1,3,0,1,0,0,0,2,3,3,1,0,3,1,0,0,0,1,1,3,2,2,3,3,2,1,0,1,1,1,2
