,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10
10,0,0,2,2,2,4,2,7,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,2,3,3,5,1,5,1,-1,0,1,1,0,1,0,0,1,1,0
11,0,0,0,3,2,4,2,3,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,1,1,2,3,2,6,1,25,0,1,0,1,1,0,1,1,0,1
12,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,35,0,1,1,0,0,0,1,0,0,1
13,0,0,0,3,4,1,5,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,0,0,1,1,-1,1,0,0,0,0,1,1,0,1,0
14,0,1,2,1,3,0,6,5,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,2,0,1,4,3,0,-1,0,0,0,1,1,0,0,1,0,0
15,0,0,0,0,4,5,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,2,0,0,1,1,-1,0,1,0,1,1,1,1,1,0,1
16,0,1,2,2,1,4,4,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,2,3,2,6,0,-1,1,1,1,0,1,0,1,1,1,0
17,0,0,1,0,0,2,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,1,0,0,1,1,33,0,1,1,1,1,0,1,1,0,0
18,0,1,1,1,3,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,0,2,0,1,3,0,0,18,1,0,1,0,0,1,1,1,0,1
19,0,0,0,3,4,1,5,0,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,0,0,4,2,5,4,1,6,1,0,1,0,1,1,1,0,1,1
20,0,1,2,2,1,0,4,5,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,3,3,5,4,3,0,14,1,0,1,0,0,1,1,0,0,1
21,0,0,1,0,0,2,3,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,1,4,6,2,0,34,0,0,1,0,1,1,1,1,1,0
22,0,1,2,2,2,4,4,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,1,-1,1,0,0,1,0,0,1,1,1,1
23,0,0,1,0,0,2,3,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,0,2,3,7,0,3,1,0,1,0,1,1,1,0,1,0
24,0,0,0,3,4,1,5,0,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,0,4,2,5,4,1,5,1,0,0,0,0,1,0,1,1,1
25,0,1,2,1,1,0,6,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,1,4,6,2,0,21,1,0,0,0,1,0,0,1,0,1
26,0,0,0,3,2,1,2,3,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,3,3,5,1,5,1,7,0,1,0,0,1,1,1,0,0,0
27,0,0,1,0,0,2,3,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,1,4,6,2,0,34,1,0,0,0,1,1,1,0,0,0
28,0,0,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,4,2,3,7,1,-1,0,0,0,1,0,0,0,0,0,1
29,0,1,2,2,2,4,4,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,0,11,0,1,0,1,1,0,0,0,0,1
30,0,1,2,1,1,0,6,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,1,4,6,2,0,21,1,0,0,1,1,1,1,0,0,1
31,0,1,1,0,0,2,3,4,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,0,2,0,1,3,0,0,-1,1,0,1,0,1,0,1,1,1,1
32,0,1,1,0,0,2,3,4,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,0,2,0,1,3,0,0,-1,1,1,1,1,1,0,1,1,0,1
33,0,1,2,2,1,0,6,5,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,2,2,0,1,4,3,0,16,1,0,0,0,1,1,0,0,0,0
34,0,1,1,1,3,3,3,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,35,0,0,0,0,0,0,1,1,0,1
35,0,1,2,2,2,4,2,1,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,1,1,1,2,3,2,6,1,-1,0,0,0,1,1,1,0,0,0,1
36,0,0,0,0,4,5,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,2,0,0,1,1,31,0,0,0,0,1,0,0,1,0,0
37,0,1,2,2,1,0,6,1,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,1,1,1,2,3,2,6,0,-1,1,1,1,0,1,1,0,1,0,1
38,0,0,1,0,0,2,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,1,0,0,1,1,-1,0,1,0,1,0,1,0,0,1,1
39,0,1,2,2,2,4,4,7,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,1,-1,1,1,1,1,0,1,0,0,0,1
40,0,0,0,0,0,5,1,0,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,1,1,1,0,0,1,1,-1,1,0,0,0,0,0,0,0,0,0
41,0,0,0,3,4,1,5,0,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,0,4,2,5,4,1,5,0,1,0,0,0,0,1,1,0,1
42,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,37,1,1,1,0,1,0,1,0,0,0
43,0,1,2,2,1,4,4,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,2,3,3,5,1,5,0,12,1,0,0,1,0,0,0,0,0,1
44,0,0,0,0,0,5,1,0,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,0,0,4,2,5,7,1,2,1,0,1,1,1,1,0,1,0,1
45,0,0,0,3,2,4,2,7,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,6,2,0,0,2,3,3,5,1,5,1,10,0,0,0,1,0,1,1,0,0,0
46,0,1,2,2,1,0,4,7,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,3,3,5,4,3,0,13,0,0,1,1,1,0,1,1,0,1
47,0,0,1,0,0,5,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,1,32,1,1,1,1,1,1,0,0,1,1
48,0,1,1,1,3,3,0,6,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,1,4,6,2,0,36,0,1,0,1,1,0,0,1,0,1
49,0,0,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,4,2,3,7,1,1,1,1,0,1,0,0,0,1,0,0
50,0,0,1,0,0,2,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,1,1,1,0,6,1,0,34,0,1,0,0,0,1,0,0,1,1
51,0,1,2,1,3,0,6,5,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,2,0,1,4,3,0,-1,0,1,0,1,0,1,1,0,1,0
52,0,0,1,0,0,2,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,1,-1,1,1,0,0,1,1,0,1,0,1
53,0,1,1,1,3,3,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,0,2,0,1,3,0,0,19,0,0,0,1,0,0,0,0,1,1
54,0,1,1,1,3,3,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,0,2,0,1,3,0,0,20,0,1,0,0,0,1,0,1,1,1
55,0,0,0,3,2,1,2,3,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,2,3,3,5,1,5,1,9,1,0,0,0,0,1,1,1,1,1
56,0,0,0,0,0,5,1,0,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,1,1,1,0,0,1,1,31,0,1,0,1,1,0,1,0,0,1
57,0,1,2,1,1,0,6,5,26,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,2,2,0,1,4,3,0,-1,0,0,0,1,1,0,0,1,0,1
58,0,1,2,2,2,4,4,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,2,3,3,5,1,5,0,-1,1,0,1,1,0,1,1,1,0,1
59,0,0,1,0,0,2,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,1,-1,1,0,0,0,1,0,0,1,1,1
60,0,0,1,0,0,5,1,4,27,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,0,0,4,2,5,7,1,-1,1,0,0,1,1,0,0,1,0,0
61,0,0,0,3,2,1,2,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,3,2,6,1,26,0,1,0,1,0,1,1,0,0,0
62,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,-1,1,1,0,0,1,1,0,0,1,1
63,0,1,2,1,1,0,6,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,1,4,6,2,0,21,1,1,1,0,0,0,1,0,0,1
64,0,0,0,3,4,5,5,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,1,1,2,0,0,1,1,30,1,1,0,1,1,0,1,1,1,1
65,0,1,2,2,1,0,6,5,29,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,2,2,3,1,4,3,0,15,1,1,1,1,0,0,0,0,0,0
66,0,0,0,3,2,1,2,3,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,2,3,3,5,1,5,1,9,1,0,0,1,0,1,0,1,0,0
67,0,1,2,2,2,4,4,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,2,3,2,6,0,23,0,0,1,0,0,1,1,1,0,0
68,0,0,0,3,2,1,2,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,3,2,6,1,27,0,0,1,1,0,0,1,1,1,0
69,0,0,0,0,0,5,1,0,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,4,2,5,7,1,2,1,0,1,1,1,1,0,1,1,0
70,0,1,1,1,3,3,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,0,0,2,0,1,3,0,0,-1,0,0,1,1,0,0,0,1,1,0
71,0,0,0,0,4,5,1,0,30,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,4,2,5,4,1,-1,0,1,1,0,1,1,0,0,1,0
72,0,0,1,0,0,5,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,1,32,1,1,0,0,0,0,1,0,0,0
73,0,1,2,2,2,4,4,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,1,1,2,3,2,6,0,24,0,1,1,1,0,0,0,1,0,1
74,0,1,2,1,3,0,6,5,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,2,0,1,4,3,0,-1,0,0,0,1,0,1,1,1,0,1
75,0,0,1,0,0,2,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,1,1,1,0,6,1,0,34,0,1,1,0,1,1,1,1,1,1
76,0,0,0,3,2,1,2,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,3,2,6,1,27,1,0,1,0,1,1,0,1,1,0
77,0,0,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,4,2,3,7,1,1,0,1,1,1,1,1,1,0,0,0
78,0,0,2,3,2,4,2,3,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,1,1,2,3,2,6,1,-1,0,1,0,1,1,0,1,0,1,0
79,0,0,0,3,4,1,5,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,1,1,2,0,0,1,1,29,0,1,1,1,1,0,0,0,1,1
80,0,0,0,3,4,5,1,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,0,0,1,1,1,2,0,0,1,1,-1,0,0,1,0,0,0,1,1,1,1
81,0,1,2,2,2,4,4,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,1,-1,1,0,1,1,1,1,1,0,0,1
82,0,1,2,2,1,4,4,1,-1,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,2,3,2,6,0,-1,1,0,1,1,0,1,0,1,1,1
83,0,1,2,2,1,4,4,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,2,3,3,5,1,3,0,12,0,1,1,1,0,0,0,1,0,1
84,0,0,1,0,0,5,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,1,1,1,0,0,1,1,32,0,0,1,1,1,0,1,1,0,1
85,0,0,0,0,4,5,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,1,1,2,0,0,1,1,31,1,0,0,0,1,0,0,0,1,1
86,0,1,1,1,3,3,0,6,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,1,4,6,2,0,36,1,1,0,0,1,1,1,1,1,1
87,0,1,1,1,3,3,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,2,2,0,1,4,0,0,-1,1,0,1,1,1,1,0,0,1,0
88,0,0,1,0,0,2,1,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,1,1,1,0,0,1,1,-1,0,0,0,0,1,1,1,1,0,1
89,0,0,0,3,4,5,5,0,31,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,0,4,2,5,4,1,-1,0,0,1,0,1,0,1,1,1,0
90,0,1,2,2,1,4,4,7,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,2,3,3,5,1,3,0,12,1,0,1,1,0,1,1,0,0,0
91,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,37,1,1,0,0,1,0,0,1,1,1
92,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,35,0,0,0,1,0,1,1,0,0,1
93,0,1,2,2,1,0,6,5,32,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,6,0,0,2,2,3,1,4,3,0,15,0,0,0,0,0,1,1,0,0,0
94,0,1,2,1,1,0,6,5,33,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,2,2,0,1,4,3,0,16,0,0,1,1,1,0,0,0,0,0
95,0,1,1,0,0,2,3,6,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,1,1,4,6,2,0,34,1,1,1,0,0,1,1,1,1,1
96,0,0,0,3,4,5,5,0,-1,-1,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,0,4,2,5,4,1,-1,0,1,0,1,1,1,0,1,1,1
97,0,1,2,2,1,0,6,1,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,6,0,1,1,1,1,4,6,2,0,-1,1,0,0,0,0,0,1,1,0,1
98,0,0,0,0,4,5,5,0,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,4,2,5,4,1,4,1,1,1,0,1,0,0,1,1,1
99,0,1,2,2,1,0,4,5,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,3,3,5,4,3,0,14,1,1,1,0,0,1,0,1,1,0
100,0,0,1,0,0,2,3,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,0,2,3,7,0,3,0,1,0,0,1,0,0,0,0,1
101,0,0,1,0,0,5,1,4,-1,1,1,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,1,1,1,1,0,0,1,1,-1,0,0,1,1,0,0,1,1,1,1
102,0,0,0,0,4,5,1,0,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,4,2,5,7,1,2,1,0,0,0,1,0,0,0,0,0
103,0,1,2,2,1,4,4,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,2,3,2,6,0,-1,1,1,0,0,0,0,1,0,0,0
104,0,0,0,3,2,4,2,3,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,0,2,3,3,5,1,5,1,-1,1,0,0,1,0,1,1,0,1,1
105,0,1,1,1,3,3,0,6,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,1,4,6,2,0,36,1,1,0,0,0,0,1,1,1,0
106,0,0,1,0,0,2,3,4,34,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,0,0,0,2,3,7,0,3,0,1,0,0,0,1,1,1,1,1
107,0,1,2,2,2,4,4,7,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,1,-1,0,0,1,0,1,0,1,1,1,0
108,0,0,0,3,4,1,5,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,0,3,0,1,1,1,2,0,0,1,1,29,1,0,1,0,1,1,0,0,0,1
109,0,1,1,1,3,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,0,2,0,1,3,0,0,-1,0,0,0,0,1,1,1,0,0,1
110,0,0,0,3,2,1,2,3,28,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,3,2,6,1,26,0,1,0,0,1,0,1,0,0,1
111,0,0,0,3,2,4,2,3,35,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,2,0,0,2,3,3,5,1,5,1,10,1,0,0,1,0,0,1,0,1,1
112,0,1,1,1,3,3,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,0,2,0,1,3,0,0,-1,1,0,0,1,1,0,1,1,0,0
113,0,0,0,3,2,1,2,3,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,2,3,3,5,1,5,1,9,1,1,1,0,1,1,0,1,1,0
114,0,1,2,2,1,0,4,1,3,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,1,1,2,3,2,6,0,22,0,0,0,1,0,1,0,1,1,0
115,0,1,2,1,1,0,6,1,-1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,1,4,6,2,0,21,1,0,1,0,0,1,0,1,1,0
116,0,1,1,1,3,3,3,6,-1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,-1,0,1,0,0,0,0,1,0,1,1
117,0,0,0,3,4,1,5,3,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,1,1,2,3,0,6,1,28,0,0,0,0,0,1,0,0,0,1
118,0,1,2,2,1,0,4,5,36,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,2,3,3,5,4,3,0,14,0,1,0,1,0,0,0,0,0,1
119,0,1,2,2,1,0,6,5,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,2,2,0,1,4,3,0,16,1,0,1,1,0,1,1,1,1,1
120,0,1,2,1,1,0,6,1,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,1,1,1,4,6,2,0,21,1,0,0,0,1,1,1,0,0,1
121,0,0,0,3,4,5,5,0,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,0,0,4,2,5,4,1,5,0,0,1,1,0,1,1,1,1,0
122,0,1,1,1,3,3,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,0,2,0,1,3,0,0,-1,1,1,0,0,0,0,0,0,1,1
123,0,0,1,0,0,2,3,4,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,1,1,1,0,6,1,0,34,0,1,1,0,0,1,0,0,1,1
124,0,1,1,1,3,3,0,6,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,1,4,6,2,0,36,1,1,1,1,0,1,1,1,0,1
125,0,1,2,2,2,4,4,7,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,2,3,3,5,1,5,0,-1,1,0,1,0,0,1,0,0,1,0
126,0,0,0,0,4,5,1,0,30,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,4,2,5,4,1,4,1,0,1,0,1,0,0,1,1,0
127,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,37,0,1,0,1,0,0,0,0,0,0
128,0,1,1,1,3,3,0,6,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,1,1,1,4,6,2,0,35,0,0,1,1,0,0,0,1,0,0
129,0,1,1,1,3,3,0,6,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,1,1,1,4,6,2,0,36,0,1,1,0,0,0,0,1,1,0
130,0,1,2,2,2,4,4,1,5,1,1,1,1,0,0,0,0,0,0,2,3,0,4,4,3,0,1,1,1,2,3,2,6,0,-1,1,0,0,1,0,1,0,0,0,1
