,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17
10,0,0,0,2,2,0,2,6,-1,1,0,0,0,0,0,0,0,0,0,0,2,3,1,6,0,0,0,1,3,0,5,0,1,0,-1,0,2,1,0,1,1,1,2,1,1,1,2,2,2,0,1,2
11,0,0,2,1,1,4,5,7,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,2,3,1,3,2,0,-1,1,1,0,0,2,1,1,2,0,0,1,1,1,0,0,1,0
12,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,0,1,1,0,2,2,2,2,0,1,2,0,0,1,1,0,1
13,0,0,2,2,1,4,5,7,2,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,0,2,3,1,3,2,0,-1,0,0,1,2,0,2,2,2,1,1,1,1,0,0,0,2,2
14,0,0,2,1,3,2,4,2,5,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,0,2,0,2,4,0,18,1,0,2,0,0,2,0,0,2,1,0,2,0,2,0,2,0
15,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,5,0,0,2,2,0,2,1,1,1,0,0,0,2,1,1,0,1
16,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,-1,1,0,2,2,0,0,2,0,2,1,0,0,1,1,2,2,0
17,0,1,1,0,0,1,1,4,6,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,1,2,2,1,1,1,1,2,1,0,2,2,1,1,2,1,0
18,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,0,1,2,0,2,2,2,0,1,0,2,0,0,0,2,1,1,2
19,0,0,2,1,1,5,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,0,2,5,0,1,0,-1,0,0,1,0,1,1,2,2,2,1,2,2,1,1,2,0,0
20,0,1,1,3,4,3,3,0,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,3,1,3,6,3,1,-1,2,0,2,1,0,2,0,2,0,1,2,2,1,2,2,1,2
21,0,0,2,1,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,-1,0,1,1,0,0,2,1,2,0,1,1,1,0,2,0,1,0
22,0,0,0,2,2,0,2,5,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,3,0,2,4,7,0,28,1,2,1,1,1,2,1,2,2,2,1,0,0,2,1,2,2
23,0,0,2,1,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,12,0,0,0,2,2,1,0,1,1,0,0,0,0,2,0,1,1
24,0,0,2,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,0,1,0,2,5,0,1,0,12,1,0,1,1,1,2,1,0,0,1,1,1,1,1,2,1,1
25,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,0,2,0,2,4,0,-1,2,0,1,2,2,1,1,2,0,0,1,1,1,2,2,1,1
26,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,6,0,2,0,1,2,2,0,1,0,1,1,2,0,0,2,2,2
27,0,0,0,2,2,5,0,6,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,1,0,2,0,1,1,0,0,2,1,2,2,1,0,1,1,0
28,0,0,2,1,3,2,4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,16,0,2,0,0,0,1,1,0,1,0,0,1,2,1,0,2,2
29,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,3,1,3,6,3,1,-1,2,2,1,2,0,0,2,2,0,1,0,2,1,2,1,0,1
30,0,0,2,1,1,4,5,7,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,2,3,1,3,2,0,-1,2,1,0,2,0,2,2,0,0,2,2,2,1,1,1,1,0
31,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,7,2,0,1,0,0,0,2,0,0,1,1,0,2,1,0,2,2
32,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,3,1,3,6,3,1,-1,2,0,2,2,1,2,1,2,1,2,0,2,2,2,2,0,2
33,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,0,2,0,2,4,0,-1,2,2,1,0,1,0,0,2,0,1,0,2,1,1,1,2,0
34,0,0,2,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,12,2,1,1,2,1,1,1,1,1,0,0,1,0,2,0,0,2
35,0,0,2,1,1,4,5,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,3,1,3,2,0,20,2,2,1,0,1,1,1,1,2,2,2,2,1,0,2,2,2
36,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,1,1,2,0,2,1,2,1,2,1,2,1,0,0,2,2,2
37,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,2,1,1,1,0,2,2,0,0,1,1,0,2,0,0,0,0
38,0,0,2,1,1,5,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,0,2,5,0,1,0,-1,2,2,2,0,2,2,1,1,0,2,0,2,2,0,0,0,2
39,0,0,0,2,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,3,0,2,4,5,0,-1,2,1,1,1,0,0,2,2,2,1,0,0,2,1,2,1,1
40,0,0,2,1,3,2,4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,0,2,0,2,4,0,-1,1,0,0,1,1,0,0,0,2,1,0,0,2,1,0,1,2
41,0,0,2,1,3,2,4,2,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,0,2,0,2,4,0,-1,0,1,0,0,0,1,0,1,2,1,2,2,1,0,0,2,0
42,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,9,2,0,2,1,2,0,0,1,2,1,2,0,1,0,0,2,1
43,0,0,2,1,1,4,5,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,3,1,3,2,0,20,1,1,0,1,1,0,1,1,1,2,1,2,1,0,0,1,0
44,0,0,0,2,2,0,2,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,3,0,2,4,5,0,27,2,0,0,2,0,1,1,1,2,1,0,2,2,0,1,2,2
45,0,1,1,0,0,1,1,4,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,-1,2,1,2,2,2,0,1,0,0,1,2,1,1,2,2,2,0
46,0,0,0,2,2,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,0,2,4,5,0,24,0,1,1,0,2,1,1,0,1,2,2,0,1,0,1,2,1
47,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,-1,2,1,1,1,0,1,1,2,0,0,1,1,0,0,2,0,0
48,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,0,2,0,1,0,1,1,2,0,1,0,2,0,2,1,0,2,0
49,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,1,3,1,0,1,-1,0,2,2,2,1,2,2,2,2,0,1,1,0,2,0,0,2
50,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,3,1,0,1,-1,0,1,1,0,0,1,1,2,1,0,2,0,2,1,1,1,1
51,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,-1,2,2,0,1,0,1,1,2,2,0,1,0,1,1,1,1,1
52,0,1,1,3,2,0,2,5,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,3,0,2,4,7,1,-1,1,2,1,2,2,0,0,0,0,1,0,1,2,2,1,0,2
53,0,0,2,1,1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,0,2,5,0,1,0,15,2,0,1,1,2,2,0,1,2,0,2,2,1,0,0,0,2
54,0,1,0,3,4,3,3,0,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,3,1,3,6,3,1,10,2,0,1,0,1,2,0,1,1,0,2,1,2,1,1,2,0
55,0,0,0,2,2,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,2,0,2,4,5,0,25,0,2,0,2,2,2,0,2,0,2,1,2,2,1,2,2,0
56,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,1,2,0,1,2,0,0,0,2,2,0,0,1,0,1,1,0,1
57,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,1,1,3,6,0,1,-1,1,1,0,0,1,0,1,2,0,1,2,0,2,1,2,0,2
58,0,0,0,2,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,0,2,4,5,0,-1,1,1,0,2,1,0,2,1,1,1,1,1,2,0,0,1,1
59,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,3,1,0,1,-1,0,2,2,2,2,1,2,2,1,1,2,0,2,0,1,0,1
60,0,0,2,1,3,2,4,2,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,2,3,1,3,2,0,-1,2,0,2,0,1,1,1,1,1,1,1,0,0,1,1,0,2
61,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,1,2,1,1,2,0,0,1,2,1,0,2,1,2,1,0,2,1
62,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,0,0,1,0,0,0,1,1,0,1,1,2,0,0,0,0,1,2
63,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,-1,1,0,1,2,0,0,1,2,2,1,0,0,2,1,1,0,2
64,0,0,2,1,3,2,4,2,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,-1,0,1,1,2,0,0,0,1,1,1,2,2,0,2,2,1,1
65,0,0,0,2,2,0,2,5,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,3,0,2,4,7,0,28,1,1,1,0,2,1,0,0,1,2,1,0,1,0,1,2,2
66,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,2,2,0,0,1,2,2,2,0,1,2,0,1,0,1,1,2
67,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,-1,2,1,0,1,1,0,2,2,2,0,2,2,1,0,2,0,0
68,0,0,2,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,12,1,1,2,1,2,1,0,1,1,0,0,1,1,1,0,1,1
69,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,-1,1,1,1,2,1,2,0,0,1,0,0,2,0,0,0,2,2
70,0,0,0,2,2,5,0,6,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,0,1,2,2,2,2,1,0,2,0,1,0,0,2,0,0,0
71,0,0,2,1,3,2,4,7,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,0,0,2,3,1,3,2,0,29,1,0,2,2,2,0,2,0,0,0,1,1,1,1,1,2,2
72,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,6,0,2,0,1,2,1,0,1,1,0,1,1,1,0,1,0,1
73,0,0,0,2,1,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,0,2,4,5,0,23,2,0,0,0,1,1,0,1,1,0,2,2,2,1,0,2,2
74,0,1,1,0,0,1,1,4,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,-1,1,0,1,1,0,1,2,1,1,2,1,1,2,2,2,1,2
75,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,0,2,0,2,4,0,-1,0,1,2,2,2,2,0,1,2,1,0,1,0,0,0,1,0
76,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,8,0,0,0,0,2,2,2,0,0,0,0,2,1,2,0,1,1
77,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,-1,0,2,0,1,1,0,1,0,2,1,1,0,0,0,0,0,1
78,0,0,2,1,1,5,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,0,1,0,2,5,0,1,0,12,1,2,2,1,2,0,2,2,0,1,2,1,0,1,0,2,0
79,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,5,1,0,1,0,1,2,2,2,1,1,0,1,2,1,1,0,1
80,0,0,0,2,2,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,2,0,2,4,5,0,25,2,0,2,2,1,2,1,2,1,0,1,0,1,0,2,1,2
81,0,0,2,1,3,2,4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,0,2,0,2,4,0,-1,1,2,1,2,2,2,0,1,0,1,2,1,2,2,2,0,1
82,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,-1,1,1,1,2,1,0,0,2,1,2,1,0,1,1,0,1,1
83,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,0,0,1,1,0,2,0,0,2,0,0,1,0,0,0,0,1
84,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,2,1,1,1,2,0,1,2,0,0,1,0,2,2,0,1,1
85,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,2,1,1,2,2,1,0,1,2,0,2,0,0,2,1,2,2
86,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,5,1,0,2,1,0,2,2,0,2,0,2,2,2,1,1,1,2
87,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,2,2,1
88,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,-1,0,2,0,0,2,1,0,0,2,1,0,1,1,0,1,0,2
89,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,0,1,1,0,0,2,0,1,2,1,2,2,1,0,2,2,1
90,0,0,0,2,1,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,0,2,4,5,0,23,0,0,0,0,0,2,1,2,1,0,0,0,2,0,2,1,1
91,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,0,2,1,2,1,2,0,1,1,1,1,1,0,1,2,2,2
92,0,0,0,2,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,0,2,4,5,0,-1,0,0,0,1,0,2,1,0,1,0,2,1,2,0,2,1,0
93,0,0,0,2,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,0,2,4,5,0,26,1,0,0,1,1,2,0,0,0,2,1,0,1,2,0,2,2
94,0,1,1,3,2,0,2,5,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,3,0,2,4,7,1,-1,1,0,0,2,0,2,2,0,0,1,2,0,0,1,1,0,0
95,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,1,0,2,2,2,1,2,0,2,0,2,1,1,2,0,2,1
96,0,0,0,2,1,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,2,3,1,3,5,0,-1,0,0,1,0,1,0,0,2,1,0,2,1,0,2,0,0,1
97,0,0,2,1,1,4,5,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,3,1,3,2,0,-1,1,1,1,2,2,1,0,2,2,1,2,0,0,2,2,0,0
98,0,0,0,2,1,4,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,2,3,1,3,2,0,-1,1,2,2,2,1,0,2,1,0,0,2,2,0,1,1,2,0
99,0,0,0,2,1,5,0,6,15,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,0,2,5,0,1,0,-1,1,0,2,2,0,1,2,0,0,0,2,1,1,1,2,2,2
100,0,0,2,1,1,4,5,7,-1,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,0,2,3,1,3,2,0,-1,1,2,2,1,2,0,0,0,0,1,1,1,0,1,2,0,1
101,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,2,2,0,0,1,2,0,2,0,0,0,1,2,2,1,1,2,0
102,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,4,4,1,0,1,-1,2,2,2,2,2,1,2,0,2,1,2,0,0,0,2,2,1
103,0,1,1,0,0,1,1,4,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,-1,1,2,0,2,0,2,1,2,1,0,1,2,1,1,2,2,1
104,0,1,1,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,3,1,3,6,3,1,6,1,2,0,2,1,1,0,2,0,0,2,2,1,2,1,2,2
105,0,0,0,2,2,4,5,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,2,0,2,4,5,0,25,2,0,2,2,1,1,1,1,2,2,0,0,0,0,1,1,1
106,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,1,1,3,1,0,1,4,1,0,1,0,0,0,2,0,1,2,1,0,1,2,2,1,2
107,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,5,0,1,0,-1,1,1,0,1,2,2,2,1,2,0,1,2,1,1,1,1,1
108,0,0,2,1,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,0,2,0,2,4,0,14,2,0,0,1,1,2,0,0,0,2,2,2,0,2,1,0,1
109,0,0,0,2,1,5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,5,0,1,0,-1,1,0,1,0,1,0,1,0,1,1,1,1,2,2,0,1,1
110,0,0,2,1,3,2,4,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,0,2,0,2,4,0,16,2,2,0,0,2,1,1,0,2,2,0,0,0,1,2,0,0
111,0,1,1,0,0,1,1,4,16,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,1,4,4,5,6,1,-1,2,1,2,0,0,2,0,2,1,1,1,2,1,2,0,2,0
112,0,1,1,3,4,3,3,0,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,3,1,3,6,3,1,-1,1,1,0,2,1,2,1,2,2,0,2,1,0,1,0,1,1
