,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1
11,0,0,0,1,4,1,3,6,3,5,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,25,1
12,0,1,1,3,3,4,6,4,-1,-1,1,0,0,0,1,1,1,0,1,0,3,2,4,4,5,0,1,1,0,4,4,3,3,2,-1,0
13,0,0,1,3,0,0,4,7,-1,2,0,0,0,0,1,1,1,0,0,0,0,4,1,6,6,0,1,1,1,4,3,6,4,0,23,0
14,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,2,0,4,1
15,0,0,0,0,1,0,4,6,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,0
16,0,0,0,1,4,1,3,6,-1,-1,0,0,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,25,0
17,0,0,0,1,4,1,3,6,3,5,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,25,1
18,0,1,2,2,2,5,2,2,-1,-1,-1,-1,1,1,2,0,0,0,1,1,1,1,4,0,1,0,1,1,0,3,5,5,6,1,0,0
19,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,2,2,0,-1,0
20,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,0
21,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,1
22,0,0,0,0,0,0,4,3,5,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,20,0
23,0,1,2,2,2,5,2,2,-1,-1,-1,-1,1,1,2,0,0,0,1,1,1,1,4,0,1,0,1,1,0,3,5,5,6,1,0,1
24,0,1,2,2,2,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,4,0,0,0,1,1,0,3,5,5,6,10,-1,0
25,0,1,0,1,4,1,3,6,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,0
26,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,1
27,0,1,1,3,3,4,1,4,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,1,4,5,0,1,1,0,4,4,3,3,2,-1,1
28,0,0,2,1,4,1,3,6,-1,-1,-1,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,1
29,0,1,1,3,0,4,1,7,6,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,1,0,4,4,3,3,0,2,1
30,0,1,1,1,4,1,3,1,-1,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,1
31,0,0,0,1,1,2,3,6,-1,-1,-1,-1,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,1
32,0,1,0,1,4,1,3,6,7,7,0,0,0,0,1,1,1,0,1,0,0,3,5,3,7,0,1,1,0,3,5,5,6,0,-1,0
33,0,1,1,1,4,1,3,1,-1,-1,0,0,0,0,1,1,1,0,1,0,1,3,5,3,7,0,1,1,0,3,5,5,6,3,-1,1
34,0,0,0,1,4,1,3,6,-1,8,0,0,0,0,1,1,1,0,0,2,1,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,0
35,0,1,0,1,0,0,1,7,8,2,0,0,0,0,1,1,1,0,0,0,0,4,1,3,6,0,1,1,0,3,5,2,2,0,-1,1
36,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,2,2,0,-1,1
37,0,0,0,0,0,0,4,3,-1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,4,0,-1,0
38,0,0,1,3,0,0,4,7,-1,-1,0,0,0,0,1,1,1,0,0,0,0,4,1,6,6,0,1,1,1,4,3,6,4,0,-1,1
39,0,0,0,0,1,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,0,3,0,5,2,2,0,-1,0
40,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,1,2,3,3,5,2,2,0,21,1
41,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,0
42,0,1,1,1,4,1,1,1,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,0
43,0,0,0,0,1,2,3,6,-1,-1,0,0,0,0,1,1,1,0,0,2,2,0,2,5,3,0,1,1,0,3,5,5,6,0,-1,0
44,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,3,5,2,5,0,21,1
45,0,1,1,1,4,1,1,1,-1,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,1
46,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,0
47,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,3,5,2,5,0,21,0
48,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
49,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,2,2,0,-1,0
50,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,-1,0
51,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,4,0,-1,0
52,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,0,3,1,1,4,7,0,-1,0
53,0,1,1,3,3,4,1,7,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,1,0,4,4,3,3,0,-1,0
54,0,0,0,0,0,0,4,6,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,0
55,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,5,0,-1,0
56,0,1,2,2,2,5,2,2,-1,9,2,1,2,2,2,0,0,0,1,1,1,1,0,0,1,0,1,1,0,3,5,5,6,1,0,1
57,0,0,0,0,1,2,3,6,10,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,1,0,3,5,2,2,0,-1,0
58,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,1
59,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,1
60,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,14,0
61,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,0
62,0,0,0,0,1,2,0,6,10,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,1,0,3,5,2,2,0,-1,1
63,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,1
64,0,0,0,0,1,2,3,6,-1,10,3,0,0,0,1,1,1,0,0,1,2,0,0,3,3,0,1,1,0,3,5,5,6,0,-1,0
65,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,1
66,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,1
67,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,-1,0
68,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,0
69,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,0
70,0,1,2,1,4,1,3,1,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,1,3,0,1,1,0,3,5,5,6,3,-1,1
71,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,0
72,0,1,2,1,4,1,3,6,-1,-1,4,2,0,0,1,1,1,0,1,1,1,3,0,1,3,0,1,1,0,3,5,5,6,1,-1,0
73,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,0,3,3,5,2,2,0,22,0
74,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
75,0,0,0,1,4,1,3,6,-1,11,0,0,0,0,1,1,1,0,0,2,0,3,3,3,4,0,1,1,0,3,5,5,6,0,-1,0
76,0,0,0,0,0,0,4,3,-1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,4,0,-1,0
77,0,1,2,1,4,1,3,1,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,1
78,0,1,1,3,3,4,6,4,11,6,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,0,4,4,3,3,2,27,1
79,0,0,0,0,1,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,0,3,2,4,0,0,0,3,0,0,2,2,0,18,0
80,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,0
81,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,0
82,0,1,1,3,3,4,6,4,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,3,1,4,0,5,0,1,1,0,4,4,3,3,2,-1,0
83,0,1,1,3,3,4,6,4,-1,12,1,0,0,0,1,1,1,0,1,0,3,2,4,4,5,0,1,1,0,4,4,3,3,4,29,0
84,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,0
85,0,1,1,1,4,1,1,1,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,0
86,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,2,0,3,1
87,0,1,1,1,4,1,1,1,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,0
88,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,0,0,3,1,1,4,7,0,-1,1
89,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,2,0,3,1
90,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,2,0,3,0
91,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,1,4,3,6,4,0,-1,1
92,0,0,0,0,1,2,0,6,12,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,0,3,5,2,6,0,24,1
93,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,2,2,0,-1,0
94,0,0,0,0,0,0,4,6,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,0
95,0,1,1,3,3,4,1,4,13,13,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,0,4,4,3,3,2,26,0
96,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,1
97,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,0
98,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,5,0,-1,1
99,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,2,2,0,-1,0
100,0,0,0,0,1,2,0,6,0,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,0,3,5,2,6,0,24,0
101,0,0,0,0,1,2,0,0,14,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,0
102,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,1,1,4,7,0,7,0
103,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,15,1
104,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,1,1,4,5,0,14,1
105,0,0,0,0,1,2,0,6,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,0,3,5,2,6,0,24,1
106,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,10,0
107,0,0,0,0,1,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,0,0,1,1,0,-1,0
108,0,1,2,1,4,1,1,1,-1,-1,-1,3,3,0,1,1,1,0,1,1,1,3,5,1,7,0,1,1,0,3,5,5,6,3,-1,1
109,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
110,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,16,1
111,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,1
112,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,6,0,1,0,1,0,3,6,4,0,-1,0
113,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,13,0
114,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,1
115,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
116,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,-1,0
117,0,0,0,1,4,1,3,6,-1,14,0,0,0,0,1,1,1,0,0,2,2,3,0,3,3,0,1,1,0,3,5,5,6,0,-1,0
118,0,0,0,1,4,1,3,6,-1,5,0,0,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,0,3,5,5,6,0,25,1
119,0,1,1,3,0,4,1,7,6,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,1,0,4,4,3,3,0,2,0
120,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,10,1
121,0,1,1,1,4,1,1,1,15,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,0
122,0,1,1,3,3,4,6,4,-1,-1,-1,4,4,3,3,2,1,0,1,1,3,2,4,0,5,0,1,1,0,4,4,3,3,4,-1,1
123,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,4,0,-1,1
124,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,1
125,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,2,2,0,-1,0
126,0,0,0,0,1,2,0,6,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,0,3,5,2,2,0,-1,1
127,0,1,1,3,3,4,1,4,-1,-1,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,0,4,4,3,3,2,-1,0
128,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,1,4,3,6,4,0,19,1
129,0,1,1,3,3,4,1,4,-1,13,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,0,4,4,3,3,2,26,0
130,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,1,1,4,7,0,7,0
131,0,0,0,1,4,1,3,6,-1,8,0,0,0,0,1,1,1,0,0,2,2,3,3,3,3,0,1,1,0,3,5,5,6,0,-1,1
132,0,0,0,1,0,0,3,6,2,2,0,0,0,0,1,1,1,0,0,2,0,4,3,3,4,0,1,1,0,3,5,2,2,0,-1,0
133,0,0,0,0,0,0,4,7,16,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,1,4,3,6,4,0,-1,1
134,0,1,1,1,4,1,1,1,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,0,3,5,5,6,0,1,1
135,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,1,1,2,2,0,-1,0
136,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
137,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,8,1
138,0,0,0,0,0,0,4,6,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,0,3,5,2,2,0,-1,0
139,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,8,0
140,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,15,0
141,0,0,0,1,4,1,3,6,-1,11,0,0,0,0,1,1,1,0,0,2,0,3,3,3,3,0,1,1,0,3,5,5,6,0,-1,1
142,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,10,0
143,0,0,0,0,1,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,0,0,2,2,0,18,1
144,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,12,1
145,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,2,0,0,0,3,1,1,4,7,0,7,0
146,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,-1,1
147,0,0,0,0,0,0,4,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,1,4,3,6,4,0,19,1
148,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,3,6,2,0,-1,1
149,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,2,2,0,-1,0
150,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,0,0,1,1,0,-1,1
151,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,17,1
152,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,2,2,2,0,0,0,16,0
153,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,4,7,0,-1,0
154,0,0,0,0,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,3,0,0,2,2,0,-1,1
155,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,0,0,3,1,1,4,7,0,-1,1
156,0,1,1,3,0,0,1,7,17,6,0,0,0,0,1,1,1,0,1,0,3,4,1,6,6,0,1,1,0,4,4,3,3,0,-1,1
157,0,0,1,3,0,4,4,7,-1,2,0,0,0,0,1,1,1,0,1,0,0,4,1,6,6,0,1,1,1,4,3,6,4,0,23,1
158,0,0,0,0,1,2,0,3,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,3,1,1,4,7,0,7,0
159,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,12,1
160,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,1,1,2,5,0,11,1
161,0,1,1,3,3,4,6,4,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,0,4,4,3,3,2,-1,0
162,0,1,2,2,2,5,2,2,-1,9,2,1,2,2,2,0,0,0,1,1,1,1,0,0,1,0,1,1,0,3,5,5,6,1,0,0
