,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20
15,0,0,2,3,0,2,0,2,8,3,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,0,1,3,5,4,7,0,21,13,196,201,42,58,113,77,185,153,37,17,37,12,33,165,44,161,31,113,129
16,0,1,2,2,2,1,5,3,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3,4,0,0,0,1,2,4,2,3,0,-1,81,45,84,97,176,161,192,29,160,141,22,183,199,15,181,210,79,7,14,108
17,0,0,1,1,4,0,2,1,9,0,0,0,0,0,0,0,0,0,1,0,1,4,2,6,5,0,1,2,1,0,3,5,5,0,11,23,95,52,11,25,76,209,205,176,165,100,43,128,138,128,54,165,2,207,47
18,0,1,0,0,3,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,7,0,0,1,2,2,4,1,4,0,4,3,81,96,110,207,173,196,193,146,110,58,33,35,55,93,202,6,102,23,194
19,0,1,0,2,2,5,4,6,7,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,2,0,0,0,0,4,2,0,1,0,15,178,137,46,125,34,159,168,206,205,182,138,179,174,3,159,170,83,158,147,121
20,0,1,0,0,3,4,3,7,-1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,7,0,0,1,2,1,0,6,6,0,-1,94,27,167,12,139,68,200,104,123,114,34,55,43,32,211,24,73,185,28,158
21,0,1,0,0,3,4,1,5,2,2,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,19,101,189,154,200,78,44,146,202,151,206,83,189,192,150,141,38,113,202,137,112
22,0,1,0,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,2,0,0,0,0,4,2,0,1,0,15,129,33,4,199,68,209,49,113,112,125,58,143,125,74,27,142,42,160,163,57
23,0,0,1,1,4,0,6,1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,1,3,3,1,5,0,1,2,3,0,3,5,5,0,-1,31,131,156,14,92,73,5,128,79,19,84,28,115,185,20,98,69,76,11,5
24,0,1,0,0,3,1,5,0,11,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,7,0,0,1,2,2,4,1,4,0,-1,145,134,160,9,92,69,127,73,24,157,28,167,86,163,87,183,202,101,174,16
25,0,0,1,1,1,3,6,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,2,3,0,1,3,4,0,-1,107,78,99,17,126,196,40,184,118,176,61,7,87,78,72,53,212,167,94,164
26,0,1,0,0,3,4,3,5,-1,-1,1,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,179,192,44,51,135,90,98,186,76,126,151,37,178,5,171,167,94,172,167,103
27,0,1,0,0,3,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,7,0,1,1,2,2,4,3,4,0,4,171,121,34,82,51,143,141,28,131,206,155,38,188,70,17,131,172,67,11,45
28,0,1,0,0,3,4,3,0,12,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,7,0,0,1,2,2,4,1,2,0,-1,76,149,15,178,184,185,173,11,32,2,100,164,70,29,159,168,67,207,88,182
29,0,0,1,0,1,3,1,4,13,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,1,1,3,0,1,3,0,0,-1,145,16,196,105,158,148,179,193,146,112,116,120,175,164,204,66,27,132,82,108
30,0,1,0,2,2,1,5,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,0,1,0,2,4,1,2,0,13,88,56,154,200,141,171,171,31,165,32,126,178,178,81,88,205,96,149,138,28
31,0,1,0,2,2,4,3,7,-1,4,0,0,0,0,0,0,0,0,0,1,3,1,4,5,3,0,0,1,0,4,2,0,1,0,18,121,131,191,116,100,94,194,84,144,19,15,155,18,186,213,44,149,201,27,172
32,0,0,1,1,1,3,6,4,-1,-1,-1,-1,-1,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,-1,105,30,185,79,141,166,193,206,190,102,42,176,35,93,208,66,1,212,102,54
33,0,1,0,2,2,4,3,7,15,4,0,0,0,0,0,0,0,0,0,1,3,1,4,5,3,0,0,1,0,4,2,0,1,0,18,90,63,51,192,108,48,84,57,167,158,129,166,62,158,28,144,132,41,110,39
34,0,1,0,0,3,4,3,7,16,0,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,16,161,174,180,194,152,72,100,183,176,200,69,4,153,43,167,102,192,209,202,172
35,0,1,2,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,20,42,167,20,162,212,99,16,203,77,112,13,75,170,143,95,200,8,107,130,79
36,0,1,0,2,2,1,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,2,4,1,2,0,-1,7,189,185,100,10,162,11,192,149,182,164,138,76,98,1,81,68,190,124,158
37,0,1,0,2,2,1,5,0,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,0,1,2,2,4,1,2,0,14,102,57,147,182,79,133,154,181,188,184,62,172,21,108,97,51,89,75,50,104
38,0,0,1,3,4,0,2,1,-1,-1,0,0,0,0,0,0,0,0,1,0,2,2,2,6,5,0,1,2,1,3,3,5,5,0,-1,103,180,173,81,77,183,67,30,50,155,60,147,99,31,180,212,199,13,39,174
39,0,0,1,1,1,1,5,0,18,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,7,0,1,2,3,2,4,3,4,0,3,41,147,151,81,171,20,14,0,89,62,211,113,211,41,1,105,149,129,41,155
40,0,0,1,3,4,0,2,3,-1,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,4,0,1,2,1,2,3,5,5,0,-1,171,122,209,41,117,187,141,71,92,9,36,171,115,109,116,105,186,119,176,22
41,0,1,0,0,3,4,3,7,-1,1,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,66,44,60,64,93,30,209,84,179,99,108,37,127,136,198,8,31,141,154,160
42,0,0,1,0,1,3,1,4,19,5,0,0,0,0,0,0,0,0,0,1,1,0,3,1,6,0,1,1,3,0,1,3,0,0,-1,116,213,23,79,125,69,161,138,40,193,69,210,8,19,74,124,140,123,92,172
43,0,1,2,2,2,5,4,6,-1,-1,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,86,127,22,115,29,43,124,158,63,112,165,186,118,58,160,12,16,34,155,12
44,0,0,1,1,1,3,6,4,-1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,-1,89,141,52,109,142,156,164,135,64,1,123,61,86,18,70,76,115,53,161,32
45,0,0,1,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1,4,0,3,7,0,1,1,3,2,4,3,4,0,-1,136,162,202,161,195,149,99,146,70,119,40,104,149,135,197,188,117,140,18,120
46,0,1,0,0,3,4,3,7,20,0,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,108,61,25,212,108,123,116,186,91,212,14,128,158,198,116,118,148,183,148,47
47,0,1,0,0,3,4,1,5,-1,-1,1,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,-1,110,51,91,22,182,97,174,78,135,46,145,105,60,188,163,128,103,194,194,60
48,0,1,0,2,2,1,5,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,0,0,0,2,4,1,2,0,-1,111,131,180,9,31,120,114,100,116,121,71,192,207,99,185,69,183,127,37,47
49,0,0,1,1,1,3,6,4,21,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,-1,87,53,149,117,87,173,197,101,108,126,131,156,89,158,85,202,23,202,178,146
50,0,1,0,0,3,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,7,0,0,1,2,2,4,1,4,0,4,200,42,144,152,169,111,6,38,27,146,26,205,90,202,112,2,186,133,131,122
51,0,0,1,1,1,3,6,4,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,0,98,196,155,0,137,121,36,135,70,59,121,56,211,135,150,172,115,161,186,164
52,0,1,2,2,2,5,4,6,-1,-1,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,20,96,92,34,165,113,140,114,147,204,107,19,76,115,162,48,120,106,21,115,69
53,0,0,2,2,2,1,5,3,22,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,4,0,0,0,1,2,4,2,3,0,-1,79,39,177,111,208,48,153,196,197,31,82,40,184,23,17,203,81,155,6,7
54,0,1,2,2,2,5,4,6,23,0,0,0,0,0,0,0,0,0,0,2,0,1,4,5,2,0,0,0,0,4,2,0,1,0,-1,154,5,191,145,138,180,64,78,6,192,184,152,104,127,151,71,173,82,126,211
55,0,1,0,2,2,5,4,6,24,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,104,123,101,61,37,52,211,200,211,183,134,62,99,50,122,32,188,2,185,79
56,0,0,1,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,0,1,1,3,2,4,3,4,0,-1,59,152,38,45,29,180,45,29,10,47,186,192,58,68,177,179,187,93,208,53
57,0,1,0,0,3,4,3,7,-1,-1,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,149,167,173,57,186,196,31,161,72,67,34,106,143,20,118,194,152,64,51,98
58,0,1,2,2,2,5,4,6,-1,6,2,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,153,179,119,44,134,112,89,47,56,107,104,169,101,51,212,132,134,90,68,166
59,0,0,2,3,0,2,0,3,-1,3,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,21,67,10,181,5,76,18,88,193,181,27,180,36,100,71,154,158,143,128,43,158
60,0,1,0,0,3,4,3,7,-1,1,0,0,0,0,0,0,0,0,0,1,3,0,5,4,3,0,0,1,2,1,0,6,6,0,-1,8,22,73,20,82,120,105,40,132,140,105,62,182,24,92,23,41,23,177,158
61,0,0,1,1,1,3,6,4,25,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,-1,155,157,49,51,210,57,46,152,160,163,161,175,125,195,18,132,183,20,25,70
62,0,1,0,2,2,4,3,7,26,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5,7,0,0,1,2,2,0,1,2,0,-1,23,22,48,8,133,210,180,101,139,51,148,12,0,68,1,80,110,182,164,177
63,0,1,2,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,5,2,0,0,0,0,4,2,0,1,0,-1,177,54,3,108,65,153,203,72,58,124,108,97,4,162,14,38,135,203,149,126
64,0,1,0,0,1,3,1,5,-1,5,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,1,1,2,1,1,3,0,0,-1,189,114,96,138,174,157,147,140,150,201,51,162,212,156,204,127,52,210,193,209
65,0,0,1,1,1,0,6,4,27,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,5,0,0,2,69,141,25,91,49,123,133,94,149,212,173,100,36,68,58,136,34,212,67,115
66,0,0,1,1,1,3,6,4,28,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,3,0,0,1,42,29,38,141,114,20,205,173,117,103,203,165,121,154,6,158,209,182,7,16
67,0,0,1,1,1,1,5,0,18,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,7,0,1,2,3,2,4,3,4,0,3,204,149,171,119,127,137,76,192,82,29,180,16,157,182,135,127,1,76,26,75
68,0,1,1,0,1,1,1,0,29,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,7,0,1,1,2,2,1,3,4,0,-1,151,30,67,148,32,143,150,192,62,50,179,180,41,146,34,51,166,47,70,41
69,0,1,0,0,3,4,1,5,30,2,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,19,202,32,89,174,81,6,50,130,150,127,210,38,25,30,87,212,180,67,148,140
70,0,1,0,2,2,5,4,6,31,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,15,128,200,149,54,194,177,118,33,118,67,11,65,76,175,77,183,104,5,213,117
71,0,0,1,1,4,0,2,3,32,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,4,0,1,2,1,2,3,2,5,0,10,157,98,57,3,82,51,107,122,165,97,119,204,2,61,95,17,18,176,138,108
72,0,0,2,3,0,2,0,2,-1,3,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,21,202,134,141,199,19,105,163,27,2,0,171,185,21,207,138,30,47,71,174,45
73,0,0,2,3,4,1,5,3,-1,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,4,0,1,0,1,2,4,2,3,0,-1,42,139,27,147,20,51,81,34,57,58,164,149,177,28,182,98,88,112,178,160
74,0,0,1,1,4,1,5,3,33,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,4,0,1,0,1,2,4,2,3,0,7,164,28,193,170,204,67,84,153,102,62,208,77,15,191,16,163,146,118,160,41
75,0,0,1,1,1,1,5,0,6,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,7,0,1,2,3,2,4,3,4,0,3,189,4,148,44,24,25,124,85,49,58,146,139,149,70,72,0,78,91,74,73
76,0,0,1,0,1,3,1,5,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,5,1,6,0,1,1,3,0,1,3,0,0,-1,24,30,49,192,84,10,141,138,154,98,24,74,134,42,143,200,1,143,188,182
77,0,1,0,2,3,4,3,7,-1,0,0,0,0,0,0,0,0,0,0,1,3,1,5,5,3,0,0,1,2,1,0,6,6,0,16,48,62,15,154,7,203,5,79,94,2,50,120,147,4,26,65,99,183,70,172
78,0,1,0,0,3,4,1,5,34,5,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,1,1,2,1,0,3,6,0,-1,139,182,116,205,156,79,29,107,122,127,143,12,130,213,194,158,169,21,18,39
79,0,1,0,2,2,5,4,6,7,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,2,0,0,0,0,4,2,0,1,0,15,9,8,177,105,155,3,123,137,193,206,113,58,172,31,213,104,145,136,191,190
80,0,0,2,3,0,2,0,2,35,7,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,22,52,75,124,102,77,203,181,67,198,107,81,193,71,26,39,152,48,10,94,146
81,0,0,1,1,4,1,5,3,36,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,4,0,1,2,1,2,4,2,3,0,-1,161,31,66,181,141,135,132,4,67,207,167,67,90,3,36,30,93,133,157,172
82,0,1,2,2,2,5,4,6,-1,-1,2,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,143,53,12,178,98,3,129,65,26,5,113,60,155,149,67,25,24,158,158,16
83,0,1,0,0,3,4,1,5,2,2,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,19,64,0,129,102,167,136,181,144,158,147,131,69,192,31,15,210,89,185,159,139
84,0,1,0,2,2,5,3,7,-1,8,0,0,0,0,0,0,0,0,0,1,3,1,4,5,3,0,0,1,0,4,2,0,1,0,-1,165,120,47,131,208,15,30,76,60,18,114,152,201,20,138,76,146,126,69,180
85,0,1,0,2,2,1,5,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,0,0,0,2,4,1,2,0,-1,162,90,20,78,189,58,191,133,90,146,162,40,29,173,69,44,83,55,61,75
86,0,1,0,0,3,4,1,5,-1,2,0,0,0,0,0,0,0,0,0,1,3,0,5,4,6,0,0,1,2,1,0,6,6,0,19,129,129,128,119,2,47,80,142,6,187,85,116,19,194,47,146,138,37,102,180
87,0,1,2,3,0,5,4,6,-1,9,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,0,0,0,0,4,5,0,1,0,-1,172,33,162,149,114,32,213,135,209,185,9,125,55,77,184,38,12,188,52,19
88,0,1,0,0,3,4,1,0,37,10,0,0,0,0,0,0,0,0,0,1,3,0,0,4,7,0,0,1,2,1,4,1,4,0,-1,106,21,117,163,148,212,90,42,196,35,159,204,130,89,186,88,58,84,131,99
89,0,1,0,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,2,0,0,0,0,4,2,0,1,0,15,83,125,164,80,132,133,97,17,102,114,4,94,210,54,114,143,161,14,67,105
90,0,1,0,2,2,5,3,7,38,4,0,0,0,0,0,0,0,0,0,1,3,1,4,5,3,0,0,1,0,4,2,0,1,0,18,165,100,49,171,140,6,34,16,50,200,90,186,212,61,207,119,136,154,48,13
91,0,0,2,3,0,2,0,2,-1,3,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,21,174,103,15,134,3,148,100,103,11,125,112,13,38,10,106,143,160,105,156,36
92,0,1,2,2,2,1,5,0,39,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,7,0,0,0,0,2,4,1,2,0,-1,95,132,135,88,101,65,122,51,126,78,89,162,36,124,47,124,176,23,58,76
93,0,1,0,2,2,5,4,6,40,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,183,22,87,200,4,55,17,10,5,86,20,204,161,102,38,90,26,70,134,45
94,0,1,0,2,2,5,4,6,24,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,-1,127,4,161,116,135,69,45,23,91,157,158,64,108,145,37,28,77,106,98,130
95,0,1,0,0,3,4,1,0,37,10,0,0,0,0,0,0,0,0,0,1,3,0,0,4,7,0,0,1,2,1,0,6,6,0,-1,142,161,45,70,48,141,61,145,29,150,98,159,64,183,45,138,154,135,131,146
96,0,0,1,1,1,0,6,4,41,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,0,1,2,3,0,1,5,0,0,-1,143,100,102,99,39,164,208,96,91,107,22,139,17,86,84,15,177,181,168,99
97,0,0,1,1,4,0,2,3,32,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,4,0,1,2,1,2,3,2,3,0,10,167,209,21,172,100,204,83,20,70,96,102,180,34,40,117,92,166,55,26,54
98,0,1,0,0,3,1,5,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,7,0,0,1,2,2,4,1,4,0,4,19,81,180,199,32,85,194,177,29,106,168,64,88,122,192,148,106,8,35,208
99,0,1,2,2,2,5,5,3,42,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5,4,0,0,0,1,2,4,2,3,0,17,143,98,100,31,152,45,160,16,58,81,24,97,140,0,79,13,138,131,140,101
100,0,1,2,3,0,2,0,2,-1,-1,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,3,5,4,7,0,-1,200,97,39,164,13,192,154,64,26,38,121,36,134,89,75,16,144,81,54,122
101,0,1,0,2,2,1,5,0,14,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,7,0,0,0,0,2,4,1,2,0,-1,125,34,80,93,21,33,207,59,121,122,147,133,126,24,127,120,179,75,90,150
102,0,1,2,2,2,5,4,6,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,2,0,0,0,0,4,2,0,1,0,20,33,74,124,3,65,176,117,41,14,105,168,113,89,75,170,59,123,195,142,193
103,0,0,1,1,4,0,2,3,32,0,0,0,0,0,0,0,0,0,1,0,2,4,2,6,4,0,1,2,1,2,3,2,5,0,10,71,208,77,203,151,83,175,147,122,159,103,4,208,15,50,119,74,165,40,208
104,0,1,0,2,2,4,3,0,-1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,5,7,0,0,1,2,2,4,1,2,0,14,107,160,12,147,69,56,202,133,165,55,41,79,188,197,40,9,140,87,86,193
105,0,0,1,0,1,3,1,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,0,1,1,3,2,1,3,4,0,-1,124,26,181,162,1,125,67,26,96,125,57,89,196,119,50,10,119,89,15,24
