,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21
40,0,0,0,0,1,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,1,2,3,5,6,5,1,0,1,1,1,1,2,0,0,0,0,2,2,1,0,2,0,2,1,0,0,1,0
41,0,0,0,1,4,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,7,0,1,1,3,3,2,0,7,1,-1,0,2,0,1,0,1,2,1,1,1,0,0,1,1,0,1,0,1,1,0,2
42,0,0,0,0,4,1,3,5,-1,-1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,1,2,3,5,6,7,1,1,0,1,2,0,1,1,1,1,0,0,0,1,1,0,0,2,1,2,1,0,0
43,0,0,0,0,1,1,0,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,1,2,3,5,6,5,1,-1,1,1,1,2,2,2,0,0,1,1,0,2,0,0,2,1,0,2,0,2,0
44,0,0,0,0,1,5,0,6,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,1,2,4,3,5,5,1,-1,2,0,1,1,0,2,0,0,2,1,0,1,1,2,2,2,2,1,1,2,1
45,0,0,0,0,4,1,3,5,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,1,2,3,5,6,7,1,1,1,1,2,0,2,2,0,0,1,0,1,0,1,1,0,2,2,1,1,2,0
46,0,0,0,0,1,5,0,6,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,1,2,4,3,5,5,1,-1,0,2,0,2,1,0,2,2,1,2,1,0,1,2,1,0,0,2,1,1,0
47,0,0,0,0,4,1,3,5,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,1,2,3,5,6,7,1,1,2,0,0,2,2,1,1,0,1,1,2,0,2,1,0,0,1,1,1,1,2
48,0,0,0,0,1,5,0,6,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,1,2,4,3,5,5,1,-1,2,2,2,1,1,2,0,1,0,1,1,0,2,1,1,0,2,0,1,2,2
49,0,0,0,0,4,1,3,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,7,0,1,1,2,3,5,6,5,1,-1,1,1,0,2,1,2,1,2,2,2,0,1,2,1,0,2,2,1,0,2,0
50,0,1,2,3,0,2,6,2,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,0,0,4,1,0,0,-1,1,1,0,1,0,2,0,2,2,2,0,0,2,1,1,0,2,1,2,0,2
51,0,1,2,2,3,2,6,2,-1,-1,-1,3,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,1,1,1,0,0,2,0,0,2,0,1,1,2,1,1,1,1,2,0,2,0
52,0,1,2,2,0,2,6,2,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,0,0,4,1,0,0,-1,0,1,2,1,1,1,1,0,2,0,0,1,0,1,0,2,0,2,2,1,1
53,0,1,1,1,2,3,1,3,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,0,2,0,1,2,1,0,1,0,2,0,0,2,0,0,0,1,1,0,1,0
54,0,1,1,2,3,0,6,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,1,0,1,1,2,2,1,0,0,0,2,1,0,1,1,1,0,0,1,2,1
55,0,1,1,2,3,0,1,0,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,0,2,0,0,0,2,1,2,1,1,0,1,2,1,1,0,0,0,2,2,0
56,0,1,2,2,3,2,6,2,-1,-1,-1,3,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,0,0,4,1,0,0,-1,2,2,0,0,1,1,0,0,0,2,2,0,1,1,0,2,0,2,0,2,1
57,0,1,1,1,2,3,1,3,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,0,0,1,2,2,1,1,1,2,0,1,0,2,1,0,1,0,2,0,2,1
58,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,0,0,1,2,1,0,2,2,0,2,1,2,1,2,2,0,1,0,2,2,1
59,0,1,1,1,2,3,1,3,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,1,0,0,-1,1,2,2,2,1,0,1,2,2,0,2,2,2,2,2,1,2,0,2,1,2
60,0,1,1,1,2,3,1,3,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,1,2,1,2,1,2,1,2,0,1,2,2,0,1,0,1,0,2,0,0,0
61,0,1,1,2,3,0,6,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,-1,2,0,1,2,1,0,1,2,0,2,1,1,2,2,1,2,0,1,2,2,0
62,0,1,1,1,2,3,1,3,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,0,0,1,0,0,0,1,2,0,0,2,2,1,0,2,2,1,1,1,2,2
63,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,0,2,1,2,2,1,1,2,1,1,1,0,0,2,0,1,1,1,1,0,2
64,0,1,1,1,3,0,1,0,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,1,2,1,2,2,0,2,2,0,0,0,2,1,0,0,0,0,1,2,0,0
65,0,1,2,2,3,2,6,2,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,2,0,2,1,2,2,2,1,0,2,2,2,1,1,2,1,1,2,1,2,2
66,0,1,1,2,3,0,6,0,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,6,6,0,0,0,3,2,4,1,0,0,2,2,2,0,2,1,0,2,2,2,0,2,0,1,2,1,0,0,0,0,2,1
67,0,1,1,1,2,3,1,3,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,-1,1,0,0,1,2,1,1,0,0,0,0,1,1,0,2,2,1,1,0,2,0
68,0,1,1,1,2,3,5,3,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,0,3,2,2,1,0,0,-1,0,1,0,2,0,1,2,1,0,0,0,2,0,2,1,0,1,2,2,2,2
69,0,1,1,1,2,3,1,3,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,0,4,0,-1,2,2,0,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,2,2
70,0,1,2,2,3,0,6,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,1,1,0,0,2,1,0,2,0,0,0,1,1,1,2,2,1,1,1,2,2
71,0,1,1,2,3,0,6,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,5,6,6,0,0,0,3,2,4,1,0,0,3,2,2,0,1,1,2,1,1,1,0,0,1,0,0,2,1,2,0,0,1,0
72,0,1,1,2,3,0,5,0,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,3,2,4,1,0,0,-1,1,2,2,2,0,1,1,2,2,0,1,0,0,1,2,1,1,1,2,1,0
73,0,1,1,2,3,0,6,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,0,2,2,0,1,1,1,2,1,2,1,1,1,0,2,0,1,0,1,2,1
74,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,1,0,0,0,2,0,0,2,0,0,1,1,1,1,0,2,1,1,0,1,1
75,0,1,2,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,1,2,1,1,0,0,2,0,1,2,0,1,1,1,1,2,2,1,2,0,2
76,0,1,2,2,3,0,6,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,2,1,1,1,0,1,2,1,2,2,2,1,1,0,2,0,1,2,2,2,2
77,0,1,2,2,0,2,6,2,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,6,1,0,0,2,0,0,4,1,0,0,-1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,2,1
78,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,0,0,0,2,0,0,0,0,0,1,0,2,1,1,2,0,2,2,2,0,1
79,0,1,1,1,2,3,1,3,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,0,4,0,-1,2,1,1,1,1,1,1,2,2,0,0,1,0,0,0,2,1,0,2,0,0
80,0,1,1,1,2,3,1,3,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,2,1,1,2,2,1,0,2,2,1,2,1,2,1,0,0,2,0,0,2,2
81,0,1,1,1,2,3,1,3,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,1,2,0,0,2,1,0,1,2,2,2,2,0,0,0,1,2,1,1,0,2
82,0,1,1,1,2,3,1,3,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,0,1,1,2,2,2,0,0,1,2,1,0,2,0,0,0,2,2,0,0,2
83,0,1,1,2,3,0,5,0,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,3,2,4,1,0,0,-1,2,1,0,0,0,2,0,1,2,1,0,2,1,1,1,2,0,2,0,2,0
84,0,1,1,2,3,0,6,0,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,-1,2,1,2,2,2,1,2,0,2,2,2,2,1,2,2,2,2,0,2,0,1
85,0,1,2,2,3,2,6,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,0,4,1,0,0,-1,2,1,2,0,0,1,2,0,1,2,2,2,0,0,0,0,2,0,2,0,2
86,0,1,2,2,3,2,6,2,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,2,0,0,4,1,0,0,-1,0,2,0,0,0,0,2,2,2,0,2,2,2,2,1,1,0,2,0,0,0
87,0,1,1,1,2,3,5,3,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,0,3,2,2,1,0,0,-1,0,0,0,0,0,2,1,2,1,0,0,0,1,1,0,1,2,0,1,1,1
88,0,1,1,2,3,0,6,0,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,1,2,2,1,2,0,2,0,2,0,2,1,1,0,0,2,1,2,2,1,0
89,0,1,1,1,2,3,1,3,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,0,4,0,-1,1,2,0,2,0,1,1,2,2,0,0,2,2,0,0,1,0,0,2,2,2
90,0,1,1,1,2,3,1,3,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,1,0,0,2,1,0,0,1,2,1,0,0,1,2,0,0,1,2,2,0,0,2,1,2,1
91,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,0,1,0,1,1,2,0,1,0,2,0,0,0,1,2,1,0,0,1,1,2
92,0,1,1,1,2,3,1,3,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,2,1,0,0,-1,0,2,2,1,2,2,1,2,1,1,1,1,0,0,2,1,2,2,0,0,1
93,0,1,1,1,2,3,1,3,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,2,2,1,1,0,0,2
94,0,1,1,1,2,3,1,3,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,1,2,0,2,1,0,2,0,2,0,1,0,0,1,0,1,0,0,1,0,0
95,0,1,1,2,3,0,6,0,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,2,0,0,2,2,1,2,0,0,0,0,1,2,0,2,2,2,2,2,0,0
96,0,1,1,2,3,0,6,0,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,0,0,1,0,0,0,1,1,0,2,2,1,0,2,0,0,0,0,1,0,2
97,0,1,1,2,3,0,6,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,3,2,4,1,0,0,3,1,1,1,2,1,0,2,2,2,1,1,2,2,2,2,2,2,0,0,2,2
98,0,1,1,1,2,3,1,3,-1,-1,-1,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,3,2,2,0,4,0,-1,2,1,1,2,2,2,1,2,0,1,2,0,1,0,2,2,2,2,1,2,0
99,0,1,1,1,3,0,1,0,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,3,2,4,1,0,0,2,2,1,0,0,0,2,0,0,0,1,0,2,1,0,1,1,0,2,1,1,1
100,0,1,2,3,0,2,2,2,-1,-1,-1,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,2,0,0,0,3,6,0,-1,0,0,0,0,1,2,1,0,2,2,2,1,0,2,0,1,2,1,1,1,1
101,0,1,1,2,3,0,5,0,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,3,2,4,1,0,0,-1,1,0,1,0,0,2,2,1,1,1,1,0,1,1,1,1,2,2,0,2,0
102,0,1,2,3,0,4,4,4,-1,-1,-1,-1,2,1,1,1,1,0,0,2,0,2,2,2,5,0,0,2,0,0,0,3,6,0,-1,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,2,1
103,0,1,2,2,3,0,6,2,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,1,0,0,0,0,0,4,1,0,0,-1,0,2,0,2,1,2,0,0,2,1,2,0,0,1,0,0,1,2,1,1,1
