,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15,random_n16,random_n17,random_n18,random_n19
14,0,1,2,0,3,0,3,4,5,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,1,2,0,3,2,3,0,1,0,1,0,2,1,1,2,1,1,2,0,2,0,0,1,0,2,2,2
15,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,1,0,1,0,2,0,0,0,1,2,2,2,1,0,2,2,1,1,0
16,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,1,2,0,3,2,3,0,1,2,2,0,2,1,0,2,1,0,0,2,0,2,0,2,2,0,0,1
17,0,0,1,1,0,3,0,2,6,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,0,2,0,1,1,0,0,2,2,1,0,2,2,1,2,1,0,1,0
18,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,1,2,1,2,2,2,2,1,0,2,1,2,0,1,0,1,0,0,0
19,0,1,2,0,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,1,2,0,1,0,1,0,1,1,1,0,2,2,2,0,0,0,1,1,1,2,0,2,2,2,1,2
20,0,0,1,3,2,1,5,7,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,2,3,3,2,5,2,1,0,2,2,2,2,1,1,0,0,0,2,2,2,1,1,0,0,1,1,1
21,0,1,2,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,1,2,1,0,2,2,2,2,1,0,2,1,0,2,2,0,2,1,1
22,0,1,0,2,4,5,2,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,3,1,4,1,6,0,2,0,1,0,1,2,1,2,0,1,1,1,1,2,2,0,2,2,1,0
23,0,1,2,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,0,1,0,2,2,0,0,0,1,2,0,1,0,0,0,1,0,2,1
24,0,1,2,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,1,1,2,0,1,0,1,0,1,2,0,1,0,0,0,2,1,2,0,2,1,2,2,0,2,2,1,1
25,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,1,2,0,3,2,3,0,1,1,2,2,0,2,2,2,0,0,1,1,1,2,0,2,0,2,1,1
26,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,1,0,1,2,2,2,2,1,2,2,1,1,1,0,2,0,0,1,0
27,0,1,0,2,4,4,1,0,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,2,2,2,1,2,2,1,2,0,0,1,1,2,2,0,0,0,0,1
28,0,1,2,0,3,0,3,4,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,1,2,0,3,2,3,0,1,1,0,2,1,1,0,2,1,1,2,2,1,0,1,2,0,1,2,2
29,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,2,3,3,2,5,2,1,0,2,0,2,0,1,1,0,1,0,1,0,0,0,1,2,0,1,0,0
30,0,1,2,0,1,2,6,5,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,1,0,0,2,0,3,0,0,2,1,1,2,1,0,0,1,1,2,2,0,2,0,2,2,1,0,2,0
31,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,0,0,0,1,1,2,1,0,1,1,1,1,1,0,1,1,1,0,0
32,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,0,2,3,3,2,5,2,1,0,2,1,0,1,0,2,0,0,2,2,1,1,2,0,2,0,1,0,1
33,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,1,2,0,3,2,3,0,1,2,1,2,2,0,1,1,0,0,2,2,1,0,1,2,2,2,0,2
34,0,1,2,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,0,1,1,1,2,2,2,0,0,1,1,2,2,0,2,0,0,2,1
35,0,1,2,0,1,2,6,5,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,0,0,2,0,3,0,0,2,1,0,1,2,0,0,1,2,0,2,1,2,1,2,2,2,1,2,0
36,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,1,0,2,0,0,2,1,0,2,0,0,1,2,2,0,1,2,0,1
37,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,1,1,1,1,2,2,1,1,2,2,2,1,1,0,0,2,1,0,1
38,0,1,2,0,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,1,2,0,1,0,1,0,1,2,1,2,2,0,1,2,2,0,1,2,0,0,1,0,0,2,0,2
39,0,1,0,2,4,5,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,3,1,4,1,5,0,2,2,2,0,0,0,1,1,1,0,2,0,1,2,0,1,2,1,1,1
40,0,1,2,0,3,0,3,4,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,1,2,0,3,2,3,0,1,2,0,0,2,0,1,2,0,2,2,1,1,2,1,2,1,2,2,0
41,0,1,2,0,3,0,3,4,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,1,2,0,3,2,3,0,1,1,2,1,2,2,2,2,2,2,1,2,1,1,2,0,1,0,1,0
42,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,2,1,1,2,2,2,2,1,0,2,0,0,2,1,1,1,0,0,2
43,0,1,2,0,1,2,6,5,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,0,0,2,0,3,0,0,2,1,2,0,1,2,2,2,0,0,2,2,1,2,2,0,0,1,2,2
44,0,1,0,2,4,5,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,3,1,4,1,5,0,2,2,0,0,2,1,2,1,1,0,2,2,1,0,2,2,1,0,2,0
45,0,0,1,1,0,3,0,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,-1,1,1,1,2,2,2,2,2,2,2,1,1,1,0,1,1,1,2,1
46,0,1,0,2,4,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,0,0,1,4,1,5,0,2,1,2,2,2,2,2,1,1,1,1,0,0,0,1,2,0,2,0,2
47,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,0,0,1,0,2,1,0,2,0,2,2,1,2,1,2,0,1,0,1
48,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,1,1,1,2,0,2,1,2,0,1,0,2,1,1,2,1,0,0,2
49,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,3,2,4,7,1,0,2,2,2,1,0,1,0,1,2,1,1,2,1,1,0,2,2,1,2
50,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,2,4,7,1,0,0,1,2,1,1,2,2,0,2,0,0,1,2,0,2,0,2,1,2
51,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,1,2,0,3,2,3,0,1,0,0,2,2,0,0,0,0,2,2,0,1,2,0,1,2,0,2,2
52,0,0,1,3,4,5,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,1,0,3,1,4,1,6,1,2,1,2,0,1,0,1,0,0,1,1,1,0,0,2,2,0,1,2,1
53,0,1,2,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,1,2,0,1,0,1,0,1,2,0,0,0,2,1,1,1,0,0,0,1,2,2,2,0,1,1,1
54,0,0,0,3,2,1,5,7,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,2,3,3,2,5,2,1,0,2,0,2,0,1,2,1,1,1,0,2,0,1,2,1,1,0,2,2
55,0,1,0,2,4,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,0,0,1,4,1,5,0,2,1,0,0,0,2,1,1,0,1,0,1,0,2,1,0,2,1,1,0
56,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,2,0,1,2,2,0,2,2,1,1,2,0,0,0,2,2,0,2,0
57,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,0,2,1,3,2,5,7,1,0,1,0,2,1,1,1,0,1,2,2,0,2,0,0,2,1,2,1,1
58,0,1,0,2,4,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,1,4,1,5,0,2,1,0,2,2,1,2,1,0,0,2,1,1,0,2,1,1,0,0,1
59,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,2,4,7,1,0,2,1,1,1,2,0,1,2,1,2,2,1,1,1,1,0,0,1,2
60,0,1,2,0,3,0,3,4,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,0,2,0,3,0,0,-1,1,2,0,1,1,2,1,1,0,1,1,1,1,1,2,1,2,0,1
61,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,0,1,1,2,2,0,0,2,0,2,0,0,2,2,0,1,0,0,0
62,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,0,2,2,0,1,1,1,2,1,0,0,2,2,0,1,2,2,0,0
63,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,1,2,0,3,2,3,0,1,0,0,2,0,0,0,1,1,1,1,0,0,2,0,0,1,2,1,2
64,0,1,2,0,3,0,3,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,1,2,0,3,2,3,0,1,2,2,0,2,0,1,1,2,1,2,0,2,0,1,2,1,2,2,1
65,0,1,0,2,4,5,2,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,3,1,4,1,6,0,2,0,1,0,2,1,2,2,1,0,1,1,1,2,1,0,0,1,0,0
66,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,0,0,1,0,1,1,2,2,0,0,0,2,0,2,1,1,0,0,2
67,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,0,2,1,1,1,2,0,0,0,2,0,0,2,1,0,1,0,1,1
68,0,1,2,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,1,2,0,1,1,0,2,2,2,2,0,1,0,2,0,0,1,2,1
69,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,1,2,2,1,2,0,1,0,0,0,1,1,0,1,1,1,0,2,2
70,0,1,0,2,4,4,1,0,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,1,2,1,0,1,1,2,2,0,1,1,2,2,1,0,0,0,1,2
71,0,1,2,0,3,0,3,5,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,1,0,0,2,0,3,0,0,2,0,0,1,2,1,0,0,1,1,0,2,1,0,1,2,2,1,2,1
72,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,1,1,0,0,0,1,2,1,1,0,1,0,2,2,2,2,0,0,2
73,0,1,0,2,1,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,0,0,1,4,1,5,0,2,2,2,1,2,1,1,0,0,2,1,0,0,0,2,0,0,2,2,0
74,0,0,1,1,0,3,0,2,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,0,2,2,2,2,1,0,0,0,1,0,0,1,2,0,0,2,1,0
75,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,1,2,0,3,2,3,0,1,0,2,0,0,1,2,2,1,2,2,0,2,1,1,2,0,2,1,1
76,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,1,2,1,1,2,2,2,0,0,2,2,2,2,2,0,0,2,0,0
77,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,1,1,0,0,0,1,0,2,1,0,2,2,2,2,0,2,2,1,0
78,0,1,2,0,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,1,1,2,0,1,0,1,0,1,0,2,1,1,0,0,1,1,1,2,2,0,0,2,0,2,2,0,0
79,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,2,0,1,0,1,0,1,2,1,1,1,0,1,2,1,1,1,1,2
80,0,1,0,2,4,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,0,0,1,4,1,5,0,2,1,2,0,2,1,1,2,0,1,2,0,0,2,2,2,0,0,2,1
81,0,1,2,0,3,0,3,4,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,1,2,0,3,2,3,0,1,0,2,1,0,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1
82,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,2,2,1,2,2,2,0,0,2,1,0,1,2,0,1,1,1,0,0
83,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,2,1,0,0,2,0,2,2,1,1,0,1,0,2,2,2,1,1,1
84,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,0,0,1,2,0,0,0,2,2,2,0,2,2,2,1,0,1,1,2
85,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,1,1,0,2,0,2,1,0,1,2,2,1,0,2,0,0,2,1,1
86,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,2,2,2,2,1,2,1,2,2,0,1,0,2,2,2,0,0,1,2
87,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,2,1,1,2,2,0,1,1,0,1,1,2,1,2,0,1,0,0,2
88,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,2,1,0,1,1,2,2,2,0,1,1,2,0,2,2,1,0,2,1
89,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,2,2,0,2,0,1,1,0,1,1,2,0,2,1,2,1,1,0,2
90,0,1,0,2,1,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,0,0,1,4,1,5,0,2,0,0,1,2,0,1,0,0,0,2,0,2,0,1,1,1,2,0,1
91,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,0,1,1,1,2,0,1,2,0,0,0,0,1,0,1,1,1,0,2
92,0,1,0,2,4,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,1,4,1,5,0,2,2,2,2,1,2,0,0,0,2,2,1,1,0,0,0,1,2,1,1
93,0,1,0,2,4,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,1,4,1,5,0,2,1,1,2,1,1,0,2,2,2,1,1,2,1,0,2,0,0,0,1
94,0,0,1,3,4,5,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,1,0,3,1,4,1,6,1,2,1,0,2,2,0,0,2,0,2,0,0,0,0,1,0,0,2,2,1
95,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,2,0,2,0,0,2,0,2,2,0,1,0,0,1,2,1,0,2,0
96,0,1,0,2,1,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,0,2,0,3,5,0,2,1,0,2,0,1,2,2,0,2,2,2,2,0,0,1,1,1,1,1
97,0,1,2,0,1,2,6,5,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,0,0,2,0,3,0,0,2,1,1,2,2,1,1,1,1,0,0,0,0,1,2,2,1,2,0,2
98,0,1,0,2,1,2,6,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,0,2,0,3,0,0,2,0,2,1,0,2,0,0,2,1,1,1,1,1,1,0,0,1,2,0
99,0,1,0,0,1,4,1,0,15,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,1,2,0,1,0,1,0,1,1,1,2,2,2,0,2,1,1,2,1,2,2,0,0,2,2,1,0
100,0,1,2,0,1,2,6,5,-1,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,1,0,0,2,0,3,0,0,2,0,1,1,2,1,2,1,1,2,2,0,0,1,1,1,1,2,1,0
101,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,1,2,2,2,1,1,2,0,0,0,2,0,0,1,1,2,2,0,0
102,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,4,5,4,7,1,0,1,1,2,1,0,1,1,2,2,0,0,2,2,2,1,2,0,2,1
103,0,0,1,1,0,3,0,2,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,2,1,4,5,6,4,1,0,0,2,2,2,1,1,0,2,2,0,1,0,2,0,0,0,0,0,0
104,0,0,1,3,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,2,3,3,2,5,2,1,0,1,2,2,1,0,0,1,2,2,1,0,2,2,2,0,2,2,1,1
105,0,1,0,2,4,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,0,0,1,4,1,5,0,2,2,0,2,0,2,1,2,0,0,0,0,0,0,1,0,1,0,0,2
106,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,2,1,3,2,4,7,1,0,0,2,2,1,1,1,2,0,0,2,1,1,0,1,2,2,1,0,1
107,0,1,0,2,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,1,3,0,1,0,1,0,1,2,2,0,2,1,1,2,2,1,1,0,2,2,0,0,1,1,0,2
108,0,1,2,0,3,0,4,1,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,1,2,0,3,2,3,0,1,0,1,1,2,1,2,0,2,1,1,2,2,1,0,0,0,2,2,0
