,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12
10,0,1,1,3,4,0,6,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,-1,2,1,4,3,0,3,4,2,1,0,3,2
11,0,1,0,0,2,3,5,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,57,2,0,1,2,0,1,5,5,5,1,5,0
12,0,0,2,1,0,2,3,1,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,1,1,2,5,0,2,0,-1,3,3,3,5,1,1,5,5,4,4,3,1
13,0,0,2,1,1,2,3,1,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,5,5,0,4,1,5,5,0,1,1,3,3
14,0,1,0,0,2,1,1,7,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,2,2,3,0,5,0,0,-1,0,0,5,1,3,1,4,4,3,5,0,5
15,0,0,0,2,3,4,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,47,4,2,2,3,2,4,2,2,1,2,2,5
16,0,0,2,2,3,4,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,4,1,2,6,0,50,5,5,4,3,0,0,4,5,3,5,0,0
17,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,34,0,3,1,5,3,1,0,4,5,1,4,3
18,0,0,0,2,3,4,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,45,1,1,2,0,4,3,2,2,5,0,1,4
19,0,0,2,1,1,2,3,1,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,1,1,4,1,2,7,0,41,5,1,1,0,1,0,2,3,1,4,1,0
20,0,1,1,3,4,0,6,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,0,1,5,6,4,0,13,5,5,0,0,5,0,4,4,3,3,2,2
21,0,0,0,2,3,4,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,49,5,5,5,4,0,1,4,0,2,1,1,2
22,0,1,0,0,2,3,5,0,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,0,0,-1,5,1,2,3,0,1,4,3,0,3,5,3
23,0,0,0,2,3,4,0,3,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,2,5,3,1,3,0,5,4,4,5,2,3
24,0,0,2,1,1,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,0,1,4,5,2,4,3,3,5,3,5,3
25,0,1,0,0,2,3,5,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,58,1,0,5,4,2,2,3,5,3,0,0,4
26,0,0,2,2,3,4,3,1,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,1,3,4,1,2,7,0,50,4,0,3,5,0,2,5,5,4,5,2,0
27,0,0,2,1,1,2,4,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,4,1,4,7,0,36,1,0,2,1,1,0,5,1,1,5,1,2
28,0,1,1,3,4,0,6,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,27,4,2,4,0,3,4,1,4,1,3,1,0
29,0,0,0,2,3,4,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,3,2,3,0,3,2,2,2,4,5,0,5
30,0,0,0,2,3,4,0,7,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,3,0,0,5,0,0,-1,5,4,1,2,4,5,0,0,5,5,1,3
31,0,1,0,0,2,3,5,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,-1,3,0,4,1,4,2,3,3,0,0,3,5
32,0,1,1,3,4,0,6,4,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,-1,4,4,1,3,4,2,1,1,5,0,1,0
33,0,0,2,1,1,2,4,5,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,1,4,1,2,7,0,36,3,3,1,0,5,4,3,5,2,3,3,3
34,0,1,0,0,2,3,5,0,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,-1,1,4,2,2,2,0,5,0,1,2,3,5
35,0,1,1,3,0,5,2,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,0,0,1,5,6,4,0,18,4,4,0,3,4,1,5,4,1,1,2,0
36,0,1,1,3,0,5,2,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,0,0,1,5,6,2,0,15,3,5,3,1,2,3,4,1,5,2,0,0
37,0,1,0,0,2,3,5,0,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,1,0,22,1,4,5,3,4,4,2,3,4,1,0,3
38,0,1,1,3,4,0,6,4,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,6,4,0,31,1,1,3,2,5,5,0,2,4,2,3,2
39,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,33,4,4,1,5,1,1,3,4,0,4,4,3
40,0,0,0,2,3,1,1,7,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,3,0,0,5,0,0,52,1,0,0,0,0,3,5,4,1,0,2,4
41,0,1,0,0,2,1,1,7,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,2,2,3,5,6,0,0,-1,0,3,4,4,2,3,2,2,2,4,4,1
42,0,1,0,0,2,3,5,0,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,59,0,5,2,1,0,3,4,2,4,5,3,3
43,0,1,1,3,4,0,6,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,0,1,5,6,4,0,10,4,1,0,3,1,3,3,2,0,1,1,2
44,0,0,2,1,0,5,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,1,2,2,0,2,0,-1,2,1,3,3,5,3,4,4,4,0,3,2
45,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,33,3,2,2,1,5,3,5,5,2,2,3,3
46,0,0,0,2,3,4,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,44,1,1,3,4,2,1,1,4,5,2,2,3
47,0,0,2,2,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,4,1,2,6,0,51,0,5,4,1,3,3,0,5,1,5,5,2
48,0,0,0,2,3,4,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,1,5,5,5,4,3,3,2,2,2,4,3
49,0,0,0,2,3,1,1,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,3,0,5,5,0,0,24,3,2,4,5,5,1,4,0,1,2,4,1
50,0,0,0,2,3,4,0,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,4,1,4,1,5,5,3,5,2,1,3,2
51,0,1,1,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,0,1,2,2,0,2,0,1,0,3,3,3,0,3,4,1,0,0,2,3
52,0,0,0,2,3,4,0,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,1,2,3,2,4,3,5,5,4,3,3,3
53,0,0,2,1,0,2,3,1,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,1,1,2,5,0,2,0,55,4,2,2,1,1,1,1,5,2,3,5,0
54,0,0,0,2,3,4,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,1,2,6,0,49,2,0,5,3,3,4,5,0,4,2,2,0
55,0,1,1,3,4,0,6,4,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,8,4,5,5,5,0,5,0,5,0,5,4,0
56,0,1,1,0,2,1,1,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,2,3,5,6,4,0,-1,2,4,2,1,5,3,1,4,1,3,2,4
57,0,0,2,2,1,2,3,1,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,1,1,1,4,1,2,7,0,42,3,3,5,4,1,5,4,0,0,4,3,2
58,0,1,1,3,4,0,6,4,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,6,4,0,14,3,4,2,4,4,4,0,5,1,5,2,0
59,0,0,2,2,3,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,1,1,4,1,2,7,0,-1,5,2,3,1,2,3,5,5,3,2,2,3
60,0,0,0,2,3,1,3,1,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,1,1,3,4,1,2,7,0,-1,1,4,2,0,0,0,3,4,0,3,3,5
61,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,35,3,5,0,5,4,5,1,1,2,5,3,5
62,0,1,1,0,2,3,5,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,2,3,5,6,4,0,-1,5,1,0,1,2,5,5,2,3,0,3,5
63,0,0,2,1,1,2,3,1,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,3,3,4,1,4,4,4,2,2,5,3,5
64,0,1,1,3,0,5,2,2,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,0,1,2,2,0,2,0,2,4,3,4,2,4,1,3,0,0,5,5,4
65,0,0,2,1,0,5,4,2,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,0,1,2,2,0,2,0,-1,2,5,1,4,4,3,4,1,2,0,5,0
66,0,1,0,0,2,3,5,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,58,0,3,0,3,4,2,1,2,2,3,4,5
67,0,1,0,0,2,3,5,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,57,2,2,3,5,2,0,3,2,3,1,4,2
68,0,0,2,1,0,1,1,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,1,1,1,5,6,2,0,-1,5,1,1,3,4,4,4,3,5,4,1,4
69,0,0,0,2,3,1,1,7,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,3,0,0,5,0,0,52,0,4,2,5,2,2,5,5,5,1,4,5
70,0,1,0,0,2,3,5,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,58,0,1,1,3,2,1,3,5,1,2,3,0
71,0,1,1,0,2,3,5,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,2,2,3,3,1,1,0,60,2,2,3,0,4,3,3,2,3,3,2,4
72,0,0,2,1,1,2,3,1,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,1,2,2,0,7,0,53,0,0,3,4,5,5,5,2,4,4,5,5
73,0,0,0,2,3,4,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,0,0,45,4,4,5,5,3,2,5,5,3,5,2,3
74,0,0,2,2,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,4,1,2,6,0,51,2,5,0,5,4,2,3,2,3,3,4,3
75,0,1,1,3,0,5,2,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,0,1,5,0,2,0,7,1,3,3,1,1,5,2,2,4,5,0,0
76,0,1,0,0,2,3,5,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,-1,1,4,0,2,4,1,0,0,3,1,1,2
77,0,1,1,3,4,5,2,2,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,0,0,1,4,0,2,0,-1,4,1,1,2,1,5,4,1,5,2,4,0
78,0,0,0,2,3,1,1,7,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,3,0,5,5,0,0,-1,5,2,2,3,4,5,3,4,5,3,2,2
79,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,35,1,3,2,5,5,4,3,2,4,5,0,1
80,0,1,1,0,2,3,5,0,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,1,2,2,3,3,1,1,0,-1,2,0,2,3,5,5,4,5,2,5,4,5
81,0,1,0,0,2,1,1,7,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,2,2,3,5,6,0,0,-1,4,3,3,4,2,2,2,1,4,2,0,1
82,0,1,1,3,4,0,6,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,0,1,5,6,4,0,10,5,5,3,4,5,5,4,5,4,3,0,4
83,0,1,1,3,4,0,6,4,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,6,4,0,10,3,3,4,3,5,3,1,4,3,0,4,1
84,0,0,0,0,2,1,1,7,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,2,2,0,0,5,0,0,62,0,1,5,1,5,5,5,5,3,2,2,4
85,0,1,1,3,0,5,2,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,0,1,5,0,2,0,7,4,3,2,4,5,5,3,2,4,3,1,1
86,0,1,1,0,4,0,6,6,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,0,0,0,1,5,6,4,0,-1,3,4,3,2,2,3,4,1,3,3,2,0
87,0,1,1,3,4,0,6,4,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,-1,1,1,3,4,1,5,2,1,1,0,2,2
88,0,0,0,2,3,1,1,7,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,3,0,0,5,0,0,-1,0,4,0,0,4,0,3,0,4,2,0,3
89,0,1,2,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,1,2,2,0,2,0,1,4,5,1,4,0,4,5,2,5,3,4,0
90,0,0,2,2,3,4,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,4,1,2,7,0,50,2,1,1,5,3,4,5,3,5,2,0,3
91,0,0,2,1,1,2,3,1,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,1,2,2,0,7,0,53,1,3,2,2,2,0,1,0,2,1,3,5
92,0,0,2,2,1,2,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,1,4,4,3,4,3,1,5,5,5,3,4
93,0,0,2,2,3,4,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,1,3,4,1,2,7,0,-1,3,3,5,2,1,3,3,1,0,3,3,3
94,0,0,0,2,3,4,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,4,2,4,3,0,0,0,3,3,3,2,0
95,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,35,3,1,1,1,2,4,0,0,4,2,0,5
96,0,0,2,1,1,2,3,1,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,0,0,2,4,4,1,0,2,4,5,5,0
97,0,0,0,2,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,4,1,5,0,4,4,5,0,5,3,5,0
98,0,1,1,3,4,0,6,4,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,6,4,0,-1,4,0,4,5,2,2,3,0,0,0,4,1
99,0,0,2,1,1,2,4,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,33,3,0,4,4,1,5,0,4,5,3,5,0
100,0,1,1,0,2,3,5,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,2,2,3,3,1,1,0,60,2,5,3,4,1,3,0,2,1,2,4,0
101,0,1,1,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,0,0,2,2,0,2,0,0,2,4,5,1,2,4,0,0,1,2,2,4
102,0,1,1,3,4,0,6,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,0,1,5,6,4,0,10,1,3,0,4,3,4,5,2,1,2,0,4
103,0,1,1,3,4,0,6,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,0,0,1,5,6,4,0,12,4,5,4,3,2,3,1,5,5,1,1,4
104,0,1,1,3,4,0,6,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,27,2,3,3,2,5,4,1,5,4,3,4,4
105,0,1,1,3,4,0,6,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,0,0,1,4,3,5,0,-1,5,0,1,4,4,4,2,5,1,4,4,0
106,0,0,2,1,1,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,-1,4,2,5,4,5,3,2,5,5,0,0,2
107,0,0,0,2,3,4,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,2,1,2,5,5,2,1,0,4,5,3,4
108,0,1,1,3,0,5,2,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,0,0,1,5,6,4,0,17,1,1,2,1,3,4,4,2,3,1,3,3
109,0,0,2,2,3,4,3,3,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,1,3,4,1,2,6,0,-1,0,0,5,1,0,3,5,3,5,3,2,3
110,0,0,2,1,1,2,3,1,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,1,4,1,2,7,0,42,0,1,1,2,0,2,0,1,0,5,4,2
111,0,1,1,3,4,0,6,4,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,0,0,1,4,6,4,0,-1,0,0,5,4,2,3,3,1,1,1,0,2
112,0,0,2,1,1,2,4,5,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,4,3,0,-1,2,5,1,1,4,2,5,4,2,2,5,2
113,0,0,0,2,3,1,1,7,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,1,1,3,0,5,6,0,0,-1,1,5,1,2,2,3,0,1,4,2,1,3
114,0,0,0,2,3,4,0,7,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,1,1,3,0,0,5,0,0,46,1,0,2,4,5,4,3,3,0,3,1,0
115,0,0,0,2,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,3,0,4,3,0,1,0,3,4,3,0,3
116,0,0,2,1,0,5,3,1,58,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,1,1,2,5,0,2,0,55,5,2,2,2,2,5,2,0,0,5,3,2
117,0,0,2,1,1,2,4,5,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,1,2,2,0,2,0,32,1,5,0,1,4,0,3,2,3,5,2,1
118,0,1,0,0,2,3,5,0,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,1,0,-1,2,4,2,3,3,5,5,5,3,4,4,3
119,0,0,0,2,3,4,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,3,4,5,3,3,4,3,0,3,3,5,3
120,0,0,0,2,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,0,0,4,2,1,5,0,4,1,5,4,3
121,0,1,1,3,0,5,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,0,1,2,5,0,2,0,-1,2,0,1,4,5,2,5,4,2,1,1,3
122,0,1,1,0,2,3,5,0,60,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,2,2,3,3,6,1,0,-1,2,4,5,4,5,1,1,0,4,3,0,0
123,0,0,0,2,3,4,0,3,61,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,3,0,0,5,6,0,-1,5,1,1,5,3,3,2,3,4,3,4,2
124,0,1,0,0,2,3,1,0,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,3,1,0,0,-1,4,5,2,1,3,4,0,1,0,0,2,1
